Include/exclude,Reason,,,,,ORN,VN,DB,TI,OT,SO,AU,PB,PT,FTURL,XL,,Include/exclude,Reason,Include/exclude,Reason
0,Review paper,,,,,68,Ovid Technologies,Embase,Computational neuroscience approach to biomarkers and treatments for mental disorders.,,"Psychiatry and Clinical Neurosciences. 71 (4) (pp 215-237), 2017. Date of Publication: 01 Apr 2017.","Yahata N.

Kasai K.

Kawato M.",Blackwell Publishing (E-mail: info@asia.blackpublishing.com.au),Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,69,Ovid Technologies,Embase,Classification techniques on computerized systems to predict and/or to detect Apnea: A systematic review.,,"Computer Methods and Programs in Biomedicine. 140 (pp 265-274), 2017. Date of Publication: 01 Mar 2017.","Pombo N.

Garcia N.

Bousson K.",Elsevier Ireland Ltd,Review,Click here for full text options,SFX,,,,,
0,Review paper,,,,,70,Ovid Technologies,Embase,Modeling trait anxiety: From computational processes to personality.,,"Frontiers in Psychiatry. 8 (JAN) (no pagination), 2017. Article Number: 1. Date of Publication: 23 Jan 2017.","Raymond J.G.

Steele J.D.

Series P.",Frontiers Research Foundation (E-mail: info@frontiersin.org),Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,71,Ovid Technologies,Embase,Association between habenula dysfunction and motivational symptoms in unmedicated major depressive disorder.,,"Social cognitive and affective neuroscience. 12 (9) (pp 1520-1533), 2017. Date of Publication: 01 Sep 2017.","Liu W.-H.

Valton V.

Wang L.-Z.

Zhu Y.-H.

Roiser J.P.",,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,72,Ovid Technologies,Embase,The cognitive architecture of anxiety-like behavioral inhibition.,,"Journal of experimental psychology. Human perception and performance. 43 (1) (pp 18-29), 2017. Date of Publication: 01 Jan 2017.",Bach D.R.,,Article,Click here for full text options,SFX,,,,,
DUPLICATION 65,,,,,,73,Ovid Technologies,Embase,Neural mechanisms of reinforcement learning in unmedicated patients with major depressive disorder.,,"Brain : a journal of neurology. 140 (4) (pp 1147-1157), 2017. Date of Publication: 01 Apr 2017.","Rothkirch M.

Tonn J.

Kohler S.

Sterzer P.",,Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,74,Ovid Technologies,Embase,A simple computational model of altered neuromodulation in cortico-basal ganglia dynamics underlying bipolar disorder.,,"BMC Neuroscience. Conference: 26th Annual Computational Neuroscience Meeting, CNS 2017. Belgium. 18 (Supplement 1) (no pagination), 2017. Date of Publication: 2017.","Balasubramani P.P.

Chakravarthy S.V.

Muddapu V.R.",BioMed Central Ltd.,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,75,Ovid Technologies,Embase,Major depressive disorder is associated with blunted learning signals in medial prefrontal cortex and putamen when seeking monetary reward.,,"Neuropsychopharmacology. Conference: 56th Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2017. United States. 43 (Supplement 1) (pp S559-S560), 2017. Date of Publication: November 2017.","Reinen J.

Whitton A.

Pizzagalli D.

Silfstein M.

Abi-Dargham A.

McGrath P.

Iosifescu D.

Schneier F.",Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,76,Ovid Technologies,Embase,Striatal reward signalling across psychiatric diagnoses.,,"European Neuropsychopharmacology. Conference: 30th European College of Neuropsychopharmacology Congress, ECNP 2017. France. 27 (Supplement 4) (pp S557), 2017. Date of Publication: October 2017.",Heinz A.,Elsevier B.V.,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,77,Ovid Technologies,Embase,Reinforcement learning models of aversive learning and their translation to anxiety disorders.,,"Journal of Neural Transmission. Conference: International Congress of the World Association for Stress Related and Anxiety Disorders, WASAD 2017. Germany. 124 (10) (pp 1283-1284), 2017. Date of Publication: October 2017.","Seymour B.

Norbury A.",Springer-Verlag Wien,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,78,Ovid Technologies,Embase,Defining trans-diagnostic psychiatric traits using reinforcement learning models in large online samples.,,"Biological Psychiatry. Conference: 72nd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2017. United States. 81 (10 Supplement 1) (pp S179-S180), 2017. Date of Publication: May 2017.",Gillan C.,Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,79,Ovid Technologies,Embase,Association between habenula dysfunction and motivational symptoms in unmedicated major depressive disorder.,,"Biological Psychiatry. Conference: 72nd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2017. United States. 81 (10 Supplement 1) (pp S57), 2017. Date of Publication: May 2017.","Liu W.

Valton V.

Wang L.

Zhu Y.-H.

Roiser J.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,80,Ovid Technologies,Embase,Towards targeted training of reinforcement learning alterations in depression.,,"Biological Psychiatry. Conference: 72nd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2017. United States. 81 (10 Supplement 1) (pp S404), 2017. Date of Publication: May 2017.","Brown V.

Lee J.

King-Casas B.

Chiu P.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,81,Ovid Technologies,Embase,Mood as Representation of Momentum.,,"Trends in Cognitive Sciences. 20 (1) (pp 15-24), 2016. Date of Publication: 01 Jan 2016.","Eldar E.

Rutledge R.B.

Dolan R.J.

Niv Y.",Elsevier Ltd,Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,82,Ovid Technologies,Embase,Computational Psychiatry: Towards a mathematically informed understanding of mental illness.,,"Journal of Neurology, Neurosurgery and Psychiatry. 87 (1) (pp 53-63), 2016. Date of Publication: 01 Jan 2016.","Adams R.A.

Huys Q.J.M.

Roiser J.P.",BMJ Publishing Group (E-mail: subscriptions@bmjgroup.com),Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,83,Ovid Technologies,Embase,Neural Correlates of Three Promising Endophenotypes of Depression: Evidence from the EMBARC Study.,,"Neuropsychopharmacology. 41 (2) (pp 454-463), 2016. Date of Publication: 01 Jan 2016.","Webb C.A.

Dillon D.G.

Pechtel P.

Goer F.K.

Murray L.

Huys Q.J.M.

Fava M.

McGrath P.J.

Weissman M.

Parsey R.

Kurian B.T.

Adams P.

Weyandt S.

Trombello J.M.

Grannemann B.

Cooper C.M.

Deldin P.

Tenke C.

Trivedi M.

Bruder G.

Pizzagalli D.A.","Nature Publishing Group (Houndmills, Basingstoke, Hampshire RG21 6XS, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,84,Ovid Technologies,Embase,Dimensional psychiatry: mental disorders as dysfunctions of basic learning mechanisms.,,"Journal of Neural Transmission. 123 (8) (pp 809-821), 2016. Date of Publication: 01 Aug 2016.","Heinz A.

Schlagenhauf F.

Beck A.

Wackerhagen C.",Springer-Verlag Wien (E-mail: michaela.bolli@springer.at),Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,85,Ovid Technologies,Embase,Rats bred for helplessness exhibit positive reinforcement learning deficits which are not alleviated by an antidepressant dose of the MAO-B inhibitor deprenyl.,,"Neuroscience. 329 (pp 83-92), 2016. Date of Publication: 04 Aug 2016.","Schulz D.

Henn F.A.

Petri D.

Huston J.P.",Elsevier Ltd,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,86,Ovid Technologies,Embase,The personality trait of behavioral inhibition modulates perceptions of moral character and performance during the trust game: Behavioral results and computational modeling.,,"PeerJ. 2016 (2) (no pagination), 2016. Article Number: 1631. Date of Publication: 2016.","Radell M.L.

Sanchez R.

Weinflash N.

Myers C.E.",PeerJ Inc. (E-mail: pete@peerj.com),Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,87,Ovid Technologies,Embase,Reinforcement Learning Explains Conditional Cooperation and Its Moody Cousin.,,"PLoS Computational Biology. 12 (7) (no pagination), 2016. Article Number: e1005034. Date of Publication: July 2016.","Ezaki T.

Horita Y.

Takezawa M.

Masuda N.",Public Library of Science (E-mail: plos@plos.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,88,Ovid Technologies,Embase,The role of multiple neuromodulators in reinforcement learning that is based on competition between eligibility traces.,,"Frontiers in Synaptic Neuroscience. 8 (DEC) (no pagination), 2016. Article Number: 37. Date of Publication: 2016.","Huertas M.A.

Schwettmann S.E.

Shouval H.Z.",Frontiers Research Foundation (E-mail: info@frontiersin.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,89,Ovid Technologies,Embase,Using model systems to understand errant plasticity mechanisms in psychiatric disorders.,,"Nature Neuroscience. 19 (11) (pp 1418-1425), 2016. Date of Publication: 26 Oct 2016.","Averbeck B.B.

Chafee M.V.",Nature Publishing Group,Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,90,Ovid Technologies,Embase,"Annual Research Review: Transdiagnostic neuroscience of child and adolescent mental disorders--differentiating decision making in attention-deficit/hyperactivity disorder, conduct disorder, depression, and anxiety.",,"Journal of child psychology and psychiatry, and allied disciplines. 57 (3) (pp 321-349), 2016. Date of Publication: 01 Mar 2016.","Sonuga-Barke E.J.

Cortese S.

Fairchild G.

Stringaris A.",,Review,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,91,Ovid Technologies,Embase,Computational modelling of emotion regulation and application to depression and PTSD.,,"Neuropsychopharmacology. Conference: 55th Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2016. United States. 41 (Supplement 1) (pp S23), 2016. Date of Publication: December 2016.",Etkin A.,Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,92,Ovid Technologies,Embase,Reward prediction errors affect episodic memory: Implications for depression.,,"Neuropsychopharmacology. Conference: 55th Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2016. United States. 41 (Supplement 1) (pp S508), 2016. Date of Publication: December 2016.","Rouhani N.

Niv Y.",Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,93,Ovid Technologies,Embase,Neural correlates of value across eating disorders and obesity.,,"Neuropsychopharmacology. Conference: 55th Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2016. United States. 41 (Supplement 1) (pp S143), 2016. Date of Publication: December 2016.","Olsavsky A.

Shott M.

Frank G.",Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,94,Ovid Technologies,Embase,"Fractionating apathy-Effort, reward and impulsivity mechanisms in Parkinson's and Huntington's disease.",,"Movement Disorders. Conference: 20th International Congress of Parkinson's Disease and Movement Disorders. Germany. 31 (Supplement 2) (pp S486-S487), 2016. Date of Publication: June 2016.","O'Callaghan C.

Mason S.

Williams-Gray C.

Barker R.

Sahakian B.

Robbins T.",John Wiley and Sons Inc.,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,95,Ovid Technologies,Embase,The brain-computer interface: Nano-hardware and clever software keep CARS on track.,,"International Journal of Computer Assisted Radiology and Surgery. Conference: Computer Assisted Radiology and Surgery - 30th International Congress and Exhibition, CARS 2016. Conference Publication: (var.pagings). 11 (1 SUPPL. 1) (pp S9-S10), 2016. Date of Publication: June 2016.",Andrews R.,Springer Verlag,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,96,Ovid Technologies,Embase,The effects of acute stress on prediction error signaling in the nucleus accumbens during reinforcement learning.,,"Biological Psychiatry. Conference: 71st Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2016. Atlanta, GA United States. Conference Publication: (var.pagings). 79 (9 SUPPL. 1) (pp 240S), 2016. Date of Publication: May 2016.","Arulpragasam A.R.

Treadway M.T.

Admon R.

Mehta M.

Douglas S.

Vitaliano G.D.

Olson D.P.

Pizzagalli D.A.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,97,Ovid Technologies,Embase,Parsing striatal computations underlying reward expectation and receipt in mood disturbance.,,"Biological Psychiatry. Conference: 71st Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2016. Atlanta, GA United States. Conference Publication: (var.pagings). 79 (9 SUPPL. 1) (pp 146S), 2016. Date of Publication: May 2016.",Chase H.,Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,98,Ovid Technologies,Embase,Serotonin at the interface of aversion and inhibition.,,"Biological Psychiatry. Conference: 71st Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2016. Atlanta, GA United States. Conference Publication: (var.pagings). 79 (9 SUPPL. 1) (pp 145S-146S), 2016. Date of Publication: May 2016.",Den Ouden H.E.M.,Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,99,Ovid Technologies,Embase,Heightened neurobehavioral substrates of associability-based learning in posttraumatic stress disorder.,,"Biological Psychiatry. Conference: 71st Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2016. Atlanta, GA United States. Conference Publication: (var.pagings). 79 (9 SUPPL. 1) (pp 104S-105S), 2016. Date of Publication: May 2016.","Brown V.M.

Zhu L.

Wang J.M.

Frueh B.C.

King-Casas B.

Chiu P.H.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,100,Ovid Technologies,Embase,Reinforcement learning parameters of behavioral treatment response in depression.,,"Biological Psychiatry. Conference: 71st Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2016. Atlanta, GA United States. Conference Publication: (var.pagings). 79 (9 SUPPL. 1) (pp 39S-40S), 2016. Date of Publication: May 2016.","Brown V.

King-Casas B.

Chiu P.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,101,Ovid Technologies,Embase,Computational model of emotion regulation and application to depression and PTSD.,,"Biological Psychiatry. Conference: 71st Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2016. Atlanta, GA United States. Conference Publication: (var.pagings). 79 (9 SUPPL. 1) (pp 39S), 2016. Date of Publication: May 2016.",Etkin A.,Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,102,Ovid Technologies,Embase,Process models of goal-directed metareasoning: Disentangling the routes to maladaptive emotion regulation.,,"Biological Psychiatry. Conference: 71st Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2016. Atlanta, GA United States. Conference Publication: (var.pagings). 79 (9 SUPPL. 1) (pp 39S), 2016. Date of Publication: May 2016.","Huys Q.J.M.

Renz D.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,103,Ovid Technologies,Embase,Failure of hippocampal deactivation during loss events in treatment-resistant depression.,,"Brain. 138 (9) (pp 2766-2776), 2015. Date of Publication: 01 Sep 2015.","Johnston B.A.

Tolomeo S.

Gradin V.

Christmas D.

Matthews K.

Douglas Steele J.",Oxford University Press (E-mail: jnl.info@oup.co.uk),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,104,Ovid Technologies,Embase,Punishment and psychopathy: A case-control functional MRI investigation of reinforcement learning in violent antisocial personality disordered men.,,"The Lancet Psychiatry. 2 (2) (pp 153-160), 2015. Date of Publication: 01 Feb 2015.","Gregory S.

Blair R.J.

ffytche D.

Simmons A.

Kumari V.

Hodgins S.

Blackwood N.",Elsevier Ltd,Article,Click here for full text options,SFX,,,,,
0,Obesity,,,,,105,Ovid Technologies,Embase,An obesity-predisposing variant of the FTO gene regulates D2R-dependent reward learning.,,"Journal of Neuroscience. 35 (36) (pp 12584-12592), 2015. Date of Publication: 09 Sep 2015.","Sevgi M.

Rigoux L.

Kuhn A.B.

Mauer J.

Schilbach L.

Hess M.E.

Gruendler T.O.J.

Ullsperger M.

Stephan K.E.

Bruning J.C.

Tittgemeyer M.",Society for Neuroscience,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,106,Ovid Technologies,Embase,Testing the role of reward and punishment sensitivity in avoidance behavior: A computational modeling approach.,,"Behavioural Brain Research. 283 (pp 121-138), 2015. Date of Publication: April 05, 2015.","Sheynin J.

Moustafa A.A.

Beck K.D.

Servatius R.J.

Myers C.E.",Elsevier,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,107,Ovid Technologies,Embase,What is in the feedback? Effect of induced happiness vs. sadness on probabilistic learning with vs. without exploration.,,"Frontiers in Human Neuroscience. 9 (OCTOBER) (no pagination), 2015. Article Number: 584. Date of Publication: 29 Oct 2015.","Bakic J.

De Raedt R.

Jepma M.

Pourtois G.",Frontiers Media S. A (E-mail: info@frontiersin.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,108,Ovid Technologies,Embase,Closed-loop control of anesthesia and mean arterial pressure using reinforcement learning.,,"Biomedical Signal Processing and Control. 22 (pp 54-64), 2015. Date of Publication: 2015.","Padmanabhan R.

Meskin N.

Haddad W.M.",Elsevier Ltd,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,109,Ovid Technologies,Embase,Retroactive modulation of spike timingdependent plasticity by dopamine.,,"eLife. 4 (OCTOBER2015) (no pagination), 2015. Article Number: e09685. Date of Publication: 30 Oct 2015.","Brzosko Z.

Schultz W.

Paulsen O.",eLife Sciences Publications Ltd (E-mail: staff@elifesciences.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,110,Ovid Technologies,Embase,Depression: A Decision-Theoretic Analysis.,,"Annual Review of Neuroscience. 38 (pp 1-23), 2015. Date of Publication: 08 Jul 2015.","Huys Q.J.M.

Daw N.D.

Dayan P.","Annual Reviews Inc. (4139 El Camino Way, P.O. Box 10139, Palo Alto CA 94306, United States)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,111,Ovid Technologies,Embase,Reinforcement learning in depression: A review of computational research.,,"Neuroscience and Biobehavioral Reviews. 55 (pp 247-267), 2015. Date of Publication: August 01, 2015.","Chen C.

Takahashi T.

Nakagawa S.

Inoue T.

Kusumi I.",Elsevier Ltd,Review,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,112,Ovid Technologies,Embase,Corticostriatothalamic reward prediction error signals and executive control in late-life depression.,,"Psychological medicine. 45 (7) (pp 1413-1424), 2015. Date of Publication: 01 May 2015.","Dombrovski A.Y.

Szanto K.

Clark L.

Aizenstein H.J.

Chase H.W.

Reynolds C.F.

Siegle G.J.",,Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,113,Ovid Technologies,Embase,Negative symptoms as dysfunctional decision-making.,,"European Archives of Psychiatry and Clinical Neuroscience. Conference: 5th European Conference on Schizophrenia Research: Bridging Gaps Improving Outcomes. Berlin Germany. Conference Publication: (var.pagings). 265 (1 SUPPL. 1) (pp S10), 2015. Date of Publication: September 2015.",Kaiser S.,Dr. Dietrich Steinkopff Verlag GmbH and Co. KG,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,114,Ovid Technologies,Embase,Reinforcement learning-based analysis of a decision making paradigm reveals independent influence of distress and trait sensation-seeking.,,"Neuropsychopharmacology. Conference: 54th Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2015. Hollywood, FL United States. Conference Publication: (var.pagings). 40 (SUPPL. 1) (pp S328-S329), 2015. Date of Publication: December 2015.","Chase H.

Greenberg T.

Aslam H.

Stiffler R.

Lockovich J.

Graur S.

Bebko G.

Phillips M.",Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,115,Ovid Technologies,Embase,Inflammatory responses to stress are associated with altered prediction error signaling during reinforcement learning.,,"Neuropsychopharmacology. Conference: 54th Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2015. Hollywood, FL United States. Conference Publication: (var.pagings). 40 (SUPPL. 1) (pp S36), 2015. Date of Publication: December 2015.",Treadway M.,Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,116,Ovid Technologies,Embase,Neurocognitive development of goal-directed and habitual learning.,,"Biological Psychiatry. Conference: 70th Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2015. Toronto, ON Canada. Conference Publication: (var.pagings). 77 (9 SUPPL. 1) (pp 294S), 2015. Date of Publication: 01 May 2015.","Hartley C.

Decker J.H.

Otto A.R.

Daw N.D.

Casey B.J.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,117,Ovid Technologies,Embase,Computational process models of emotion-cognition interactions.,,"Biological Psychiatry. Conference: 70th Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2015. Toronto, ON Canada. Conference Publication: (var.pagings). 77 (9 SUPPL. 1) (pp 40S), 2015. Date of Publication: 01 May 2015.",Huys Q.,Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,118,Ovid Technologies,Embase,Reinforcement learning markers of variation in compulsive and depressive traits.,,"Biological Psychiatry. Conference: 70th Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2015. Toronto, ON Canada. Conference Publication: (var.pagings). 77 (9 SUPPL. 1) (pp 39S), 2015. Date of Publication: 01 May 2015.","Gillan C.M.

Kosinski M.

Phelps E.A.

Daw N.D.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,119,Ovid Technologies,Embase,Dissecting the brain's mechanisms for reinforcement learning in health and disease.,,"Schizophrenia Bulletin. Conference: 15th International Congress on Schizophrenia Research, ICOSR 2015. Colorado Springs, CO United States. Conference Publication: (var.pagings). 41 (SUPPL. 1) (pp S72-S73), 2015. Date of Publication: March 2015.",Daw N.D.,Oxford University Press,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,120,Ovid Technologies,Embase,Differential cortical activation of the striatal direct and indirect pathway cells: Reconciling the anatomical and optogenetic results by using a computational method.,,"Journal of Neurophysiology. 112 (1) (pp 120-146), 2014. Date of Publication: 01 Jul 2014.",Morita K.,American Physiological Society (E-mail: subscrip@the-aps.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,121,Ovid Technologies,Embase,Operant conditioning of synaptic and spiking activity patterns in single hippocampal neurons.,,"Journal of Neuroscience. 34 (14) (pp 5044-5053), 2014. Date of Publication: 2014.","Ishikawa D.

Matsumoto N.

Sakaguchi T.

Matsuki N.

Ikegaya Y.",Society for Neuroscience,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,122,Ovid Technologies,Embase,Negative learning bias is associated with risk aversion in a genetic animal model of depression.,,"Frontiers in Human Neuroscience. 8 (JAN) (no pagination), 2014. Article Number: 1. Date of Publication: 16 Jan 2014.","Shabel S.J.

Murphy R.T.

Malinow R.",Frontiers Media S. A.,Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,123,Ovid Technologies,Embase,"Absence of ""warm-up"" during active avoidance learning in a rat model of anxiety vulnerability: Insights from computational modeling.",,"Frontiers in Behavioral Neuroscience. 8 (AUG) (no pagination), 2014. Article Number: 283. Date of Publication: 18 Aug 2014.","Myers C.E.

Smith I.M.

Servatius R.J.

Beck K.D.",,Article,Click here for full text options,SFX,,,,,
Review chapter,,,,,,124,Ovid Technologies,Embase,"Cerebellar and Prefrontal Cortex Contributions to Adaptation, Strategies, and Reinforcement Learning.",,"Progress in Brain Research. 210 (pp 217-253), 2014. Date of Publication: 2014.","Taylor J.A.

Ivry R.B.",Elsevier,Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,125,Ovid Technologies,Embase,"Effort, motivation and reward learning in schizophrenia: Relationships to amotivation and functional impairment.",,"Schizophrenia Research. Conference: 4th Biennial Schizophrenia International Research Conference. Florence Italy. Conference Publication: (var.pagings). 153 (SUPPL. 1) (pp S39), 2014. Date of Publication: April 2014.","Barch D.M.

Treadway M.

Schoen N.

Dowd E.",Elsevier,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,126,Ovid Technologies,Embase,Trans-diagnostic patterns of reward circuitry function are associated with anhedonia and predict future clinical outcome.,,"Neuropsychopharmacology. Conference: 53rd Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2014. Phoenix, AZ United States. Conference Publication: (var.pagings). 39 (SUPPL. 1) (pp S41), 2014. Date of Publication: December 2014.",Phillips M.,Nature Publishing Group,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,127,Ovid Technologies,Embase,Increased risk-taking in DYT1 dystonia suggests a link between striatal LTP/LTD and decision making in humans.,,"Movement Disorders. Conference: 18th International Congress of Parkinson's Disease and Movement Disorders. Stockholm Sweden. Conference Publication: (var.pagings). 29 (SUPPL. 1) (pp S487), 2014. Date of Publication: May 2014.","Arkadir D.

Radulescu A.

Raymond D.

Lubarr N.

Bressman S.B.

Mazzoni P.

Niv Y.",John Wiley and Sons Inc.,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,128,Ovid Technologies,Embase,"Reward signals, attempted suicide, and impulsivity in late-life depression.",,"JAMA Psychiatry. 70 (10) (pp 1020-1030), 2013. Date of Publication: October 2013.","Dombrovski A.Y.

Szanto K.

Clark L.

Reynolds III C.F.

Siegle G.J.",American Medical Association (E-mail: smcleod@itsa.ucsf.edu),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,129,Ovid Technologies,Embase,The influence of depression symptoms on exploratory decision-making.,,"Cognition. 129 (3) (pp 563-568), 2013. Date of Publication: December 2013.","Blanco N.J.

Otto A.R.

Maddox W.T.

Beevers C.G.

Love B.C.","Elsevier (P.O. Box 211, Amsterdam 1000 AE, Netherlands)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,130,Ovid Technologies,Embase,"Learning to Obtain Reward, but Not Avoid Punishment, Is Affected by Presence of PTSD Symptoms in Male Veterans: Empirical Data and Computational Model.",,"PLoS ONE. 8 (8) (no pagination), 2013. Article Number: e72508. Date of Publication: 27 Aug 2013.","Myers C.E.

Moustafa A.A.

Sheynin J.

VanMeenen K.M.

Gilbertson M.W.

Orr S.P.

Beck K.D.

Pang K.C.H.

Servatius R.J.","Public Library of Science (185 Berry Street, Suite 1300, San Francisco CA 94107, United States)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,131,Ovid Technologies,Embase,Signaling Pathways Involved in Striatal Synaptic Plasticity are Sensitive to Temporal Pattern and Exhibit Spatial Specificity.,,"PLoS Computational Biology. 9 (3) (no pagination), 2013. Article Number: e1002953. Date of Publication: 2013.","Kim B.H.

Hawes S.L.

Gillani F.

Wallace L.J.

Blackwell K.T.","Public Library of Science (185 Berry Street, Suite 1300, San Francisco CA 94107, United States)",Article,Click here for full text options,SFX,,,,,
0,Review paper,,,,,132,Ovid Technologies,Embase,Updating dopamine reward signals.,,"Current Opinion in Neurobiology. 23 (2) (pp 229-238), 2013. Date of Publication: April 2013.",Schultz W.,"Elsevier Ltd (Langford Lane, Kidlington, Oxford OX5 1GB, United Kingdom)",Review,Click here for full text options,SFX,,,,,
