Include/exclude	Reason	Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
0	Simulated results and prior data only	"Balasubramani, Pragathi P; Chakravarthy, V Srinivasa; Ravindran, Balaraman; Moustafa, Ahmed A; "	"An extended reinforcement learning model of basal ganglia to understand the contributions of serotonin and dopamine in risk-based decision making, reward prediction, and punishment learning"	Frontiers in computational neuroscience	8		47	2014	Frontiers
DUPLICATION WOS		"Aberg, Kristoffer Carl; Doell, Kimberly C; Schwartz, Sophie; "	Linking individual learning styles to approach-avoidance motivational traits and computational aspects of reinforcement learning	PloS one	11	11	e0166675	2016	Public Library of Science
DUPLICATION ALL		"Shabel, Steven John; Murphy, Ryan; Malinow, Roberto; "	Negative learning bias is associated with risk aversion in a genetic animal model of depression	Frontiers in human neuroscience	8		1	2014	Frontiers
0	No clinical group	"Rutledge, Robb B; Skandali, Nikolina; Dayan, Peter; Dolan, Raymond J; "	A computational and neural model of momentary subjective well-being	Proceedings of the National Academy of Sciences	111	33	12252-12257	2014	National Acad Sciences
0	Review paper	"Maia, Tiago V; Frank, Michael J; "	From reinforcement learning models to psychiatric and neurological disorders	Nature neuroscience	14	2	154	2011	Nature Publishing Group
0	Review paper	"Paulus, Martin P; Angela, J Yu; "	Emotion and decision-making: affect-driven belief systems in anxiety and depression	Trends in cognitive sciences	16	9	476-483	2012	Elsevier
0	Review paper	"Pine, Daniel S; "	Clinical advances from a computational approach to anxiety	Biological psychiatry	82	6	385-387	2017	Elsevier
0	In schizophrenia	"Dowd, Erin C; Frank, Michael J; Collins, Anne; Gold, James M; Barch, Deanna M; "	Probabilistic reinforcement learning in patients with schizophrenia: Relationships to anhedonia and avolition	Biological psychiatry: cognitive neuroscience and neuroimaging	1	5	460-473	2016	Elsevier
0	No clinical group	"Santesso, Diane L; Dillon, Daniel G; Birk, Jeffrey L; Holmes, Avram J; Goetz, Elena; Bogdan, Ryan; Pizzagalli, Diego A; "	"Individual differences in reinforcement learning: behavioral, electrophysiological, and neuroimaging correlates"	Neuroimage	42	2	807-816	2008	Elsevier
DUPLICATION PUBMED EMBASE		"Myers, Catherine E; Smith, Ian M; Servatius, Richard J; Beck, Kevin D; "	Absence of “warm-up” during active avoidance learning in a rat model of anxiety vulnerability: insights from computational modeling	Frontiers in behavioral neuroscience	8		283	2014	Frontiers
0	Computational model only	"Doya, Kenji; Samejima, Kazuyuki; Katagiri, Ken-ichi; Kawato, Mitsuo; "	Multiple model-based reinforcement learning	Neural computation	14	6	1347-1369	2002	MIT Press
0	Review paper	"Doya, Kenji; "	Reinforcement learning: Computational theory and biological mechanisms	HFSP journal	1	1	30	2007	Taylor & Francis
0	No computational modelling	"Liverant, Gabrielle I; Sloan, Denise M; Pizzagalli, Diego A; Harte, Christopher B; Kamholz, Barbara W; Rosebrock, Laina E; Cohen, Andrew L; Fava, Maurizio; Kaplan, Gary B; "	"Associations among smoking, anhedonia, and reward learning in depression"	Behavior therapy	45	5	651-663	2014	Elsevier
0	No clinical group	"Frank, Michael J; Woroch, Brion S; Curran, Tim; "	Error-related negativity predicts reinforcement learning and conflict biases	Neuron	47	4	495-501	2005	Elsevier
DUPLICATION WOS		"Sharp, Madeleine E; Foerde, Karin; Daw, Nathaniel D; Shohamy, Daphna; "	Dopamine selectively remediates ‘model-based’reward learning: a computational approach	Brain	139	2	355-364	2015	Oxford University Press
0	No clinical group	"Decker, Johannes H; Otto, A Ross; Daw, Nathaniel D; Hartley, Catherine A; "	From creatures of habit to goal-directed learners: Tracking the developmental emergence of model-based reinforcement learning	Psychological science	27	6	848-858	2016	"SAGE Publications Sage CA: Los Angeles, CA"
0	Computational model only	"Baras, Dorit; Meir, Ron; "	"Reinforcement learning, spike-time-dependent plasticity, and the BCM rule"	Neural Computation	19	8	2245-2279	2007	MIT Press
0	No clinical group	"Schönberg, Tom; Daw, Nathaniel D; Joel, Daphna; O'Doherty, John P; "	Reinforcement learning signals in the human striatum distinguish learners from nonlearners during reward-based decision making	Journal of Neuroscience	27	47	12860-12867	2007	Soc Neuroscience
0	Review paper	"Dzirasa, Kafui; Covington III, Herbert E; "	Increasing the validity of experimental models for depression	Annals of the New York Academy of Sciences	1265	1	36-45	2012	Wiley Online Library
0	Music recommendation	"Wang, Xinxi; Wang, Yi; Hsu, David; Wang, Ye; "	Exploration in interactive personalized music recommendation: a reinforcement learning approach	"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)"	11	1	7	2014	ACM
0	Not clinical	"Chen, Yan; Khoroshilov, Yuri; "	Learning under limited information	Games and Economic Behavior	44	1	Jan-25	2003	Elsevier
0	Review paper	"Pennartz, Cyriel MA; "	The ascending neuromodulatory systems in learning by reinforcement: comparing computational conjectures with experimental findings	Brain Research Reviews	21	3	219-245	1995	Elsevier
DUPLICATION ALL		"Rothkirch, Marcus; Tonn, Jonas; Köhler, Stephan; Sterzer, Philipp; "	Neural mechanisms of reinforcement learning in unmedicated patients with major depressive disorder	Brain	140	4	1147-1157	2017	Oxford University Press
0	Editorial	"O’Doherty, John P; "	Beyond simple reinforcement learning: the computational neurobiology of reward?learning and valuation	European Journal of Neuroscience	35	7	987-990	2012	Wiley Online Library
0	In mice	"Amodeo, Dionisio A; Jones, Joshua H; Sweeney, John A; Ragozzino, Michael E; "	Differences in BTBR T+ tf/J and C57BL/6J mice on probabilistic reversal learning and stereotyped behaviors	Behavioural brain research	227	1	64-72	2012	Elsevier
0	Computational model only	"Erdi, Péter; Huhn, Zsófia; Kiss, Tamás; "	"Hippocampal theta rhythms from a computational perspective: code generation, mood regulation and navigation"	Neural networks	18	9	1202-1211	2005	Elsevier
0	Computational model only	"Suri, Roland E; Schultz, Wolfram; "	Learning of sequential movements by neural network model with dopamine-like reinforcement signal	Experimental brain research	121	3	350-354	1998	Springer
0	No clinical group	"Santesso, Diane L; Evins, A Eden; Frank, Michael J; Schetter, Erika C; Bogdan, Ryan; Pizzagalli, Diego A; "	Single dose of a dopamine agonist impairs reinforcement learning in humans: Evidence from event?related potentials and computational modeling of striatal?cortical function	Human brain mapping	30	7	1963-1976	2009	Wiley Online Library
DUPLICATION ALL		"Eldar, Eran; Rutledge, Robb B; Dolan, Raymond J; Niv, Yael; "	Mood as representation of momentum	Trends in cognitive sciences	20	1	15-24	2016	Elsevier
0	No means/sds reported	"Huys, Quentin J; Vogelstein, Joshua; Dayan, Peter; "	Psychiatry: Insights into depression through normative decision-making models	Advances in neural information processing systems			729-736	2009	
0	No computational modelling	"Zambrano-Vazquez, Laura; Allen, John JB; "	"Differential contributions of worry, anxiety, and obsessive compulsive symptoms to ERN amplitudes in response monitoring and reinforcement learning tasks"	Neuropsychologia	61		197-209	2014	Elsevier
0	Genetic group	"Collins, Anne GE; Frank, Michael J; "	"How much of reinforcement learning is working memory, not reinforcement learning? A behavioral, computational, and neurogenetic analysis"	European Journal of Neuroscience	35	7	1024-1035	2012	Wiley Online Library
0	Computational model only	"Florian, Razvan V; "	A reinforcement learning algorithm for spiking neural networks	Seventh International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC'05)			8 pp.	2005	IEEE
DUPLICATION WOS PUBMED		"Pizzagalli, Diego A; "	"Depression, stress, and anhedonia: toward a synthesis and integrated model"	Annual review of clinical psychology	10		393-423	2014	Annual Reviews
DUPLICATION WOS		"Dayan, Peter; Huys, Quentin JM; "	"Serotonin, inhibition, and negative mood"	PLoS computational biology	4	2	e4	2008	Public Library of Science
DUPLICATION WOS		"Jasso, Hector; Triesch, Jochen; Deák, Gedeon; "	A reinforcement learning model of social referencing	2008 7th IEEE International Conference on Development and Learning			286-291	2008	IEEE
DUPLICATION EMBASE		"Samson, RD; Frank, MJ; Fellous, Jean-Marc; "	Computational models of reinforcement learning: the role of dopamine as a reward signal	Cognitive neurodynamics	4	2	91-105	2010	Springer
0	Computational model only	"Grossberg, Stephen; Merrill, John WL; "	A neural network model of adaptively timed reinforcement learning and hippocampal dynamics	Cognitive brain research	1	1	Mar-38	1992	Elsevier
0	Computational model only	"Florian, R?zvan V; "	Reinforcement learning through modulation of spike-timing-dependent synaptic plasticity	Neural Computation	19	6	1468-1502	2007	MIT Press
DUPLICATION ALL		"Dombrovski, Alexandre Y; Szanto, Katalin; Clark, Luke; Aizenstein, Howard J; Chase, Henry W; Reynolds, Charles F; Siegle, Greg J; "	Corticostriatothalamic reward prediction error signals and executive control in late-life depression	Psychological medicine	45	7	1413-1424	2015	Cambridge University Press
0	Review paper	"Abreu, Paulo Roberto; Santos, Carlos E; "	Behavioral models of depression: A critique of the emphasis on positive reinforcement.	International Journal of Behavioral Consultation and Therapy	4	2	130	2008	Joseph D. Cautilli
0	Computational model only	"Sarin, Rajiv; Vahid, Farshid; "	Payoff assessments without probabilities: A simple dynamic model of choice	Games and Economic Behavior	28	2	294-309	1999	Elsevier
DUPLICATION ALL		"Huang, He; Thompson, Wesley; Paulus, Martin P; "	Computational dysfunctions in anxiety: Failure to differentiate signal from noise	Biological psychiatry	82	6	440-446	2017	Elsevier
DUPLICATION WOS PUBMED		"Kumar, Poornima; Goer, Franziska; Murray, Laura; Dillon, Daniel G; Beltzer, Miranda L; Cohen, Andrew L; Brooks, Nancy H; Pizzagalli, Diego A; "	Impaired reward prediction error encoding and striatal-midbrain connectivity in depression	Neuropsychopharmacology	43	7	1581	2018	Nature Publishing Group
0	Commentary paper	"Huys, Quentin JM; Moutoussis, Michael; Williams, Jonathan; "	Are computational models of any use to psychiatry?	Neural Networks	24	6	544-551	2011	Elsevier
0	Review paper	"Doya, Kenji; "	Complementary roles of basal ganglia and cerebellum in learning and motor control	Current opinion in neurobiology	10	6	732-739	2000	Elsevier
0	No clinical group	"Bakic, Jasmina; Jepma, Marieke; De Raedt, Rudi; Pourtois, Gilles; "	Effects of positive mood on probabilistic learning: Behavioral and electrophysiological correlates	Biological Psychology	103		223-232	2014	Elsevier
DUPLICATION ALL		"Chen, Chong; Takahashi, Taiki; Nakagawa, Shin; Inoue, Takeshi; Kusumi, Ichiro; "	Reinforcement learning in depression: a review of computational research	Neuroscience & Biobehavioral Reviews	55		247-267	2015	Elsevier
DUPLICATION PUBMED		"Huys, Quentin JM; Pizzagalli, Diego A; Bogdan, Ryan; Dayan, Peter; "	Mapping anhedonia onto reinforcement learning: a behavioural meta-analysis	Biology of mood & anxiety disorders	3	1	12	2013	BioMed Central
DUPLICATION WOS		"Admon, Roee; Pizzagalli, Diego A; "	Dysfunctional reward processing in depression	Current Opinion in Psychology	4		114-118	2015	Elsevier
DUPLICATION ALL		"Mkrtchian, Anahit; Aylward, Jessica; Dayan, Peter; Roiser, Jonathan P; Robinson, Oliver J; "	Modeling avoidance in mood and anxiety disorders using reinforcement learning	Biological psychiatry	82	7	532-539	2017	Elsevier
0	Computational model only	"Marinier, Robert P; Laird, John E; "	Emotion-driven reinforcement learning	Proceedings of the Annual Meeting of the Cognitive Science Society	30	30		2008	
DUPLICATION ALL		"Kunisato, Yoshihiko; Okamoto, Yasumasa; Ueda, Kazutaka; Onoda, Keiichi; Okada, Go; Yoshimura, Shinpei; Suzuki, Shin-ichi; Samejima, Kazuyuki; Yamawaki, Shigeto; "	Effects of depression on reward-based decision making and variability of action in probabilistic learning	Journal of behavior therapy and experimental psychiatry	43	4	1088-1094	2012	Elsevier
0	In schizophrenia	"Waltz, James A; Frank, Michael J; Robinson, Benjamin M; Gold, James M; "	Selective reinforcement learning deficits in schizophrenia support predictions from computational models of striatal-cortical dysfunction	Biological psychiatry	62	7	756-764	2007	Elsevier
1		"Chase, HW; Frank, MJ; Michael, A; Bullmore, ET; Sahakian, BJ; Robbins, TW; "	Approach and avoidance learning in patients with major depression and healthy controls: relation to anhedonia	Psychological medicine	40	3	433-440	2010	Cambridge University Press
0	No clinical group	"Eldar, Eran; Niv, Yael; "	Interaction between emotional state and learning underlies mood instability	Nature communications	6		6149	2015	Nature Publishing Group
0	Review paper	"Mathew, Amanda R; Hogarth, Lee; Leventhal, Adam M; Cook, Jessica W; Hitsman, Brian; "	Cigarette smoking and depression comorbidity: systematic review and proposed theoretical model	Addiction	112	3	401-412	2017	Wiley Online Library
0	In schizophrenia	"Strauss, Gregory P; Frank, Michael J; Waltz, James A; Kasanova, Zuzana; Herbener, Ellen S; Gold, James M; "	Deficits in positive reinforcement learning and uncertainty-driven exploration are associated with distinct aspects of negative symptoms in schizophrenia	Biological psychiatry	69	5	424-431	2011	Elsevier
0	Review paper	"Montague, P Read; Dolan, Raymond J; Friston, Karl J; Dayan, Peter; "	Computational psychiatry	Trends in cognitive sciences	16	1	72-80	2012	Elsevier
0	Audio classification	"Stockholm, Jack; Pasquier, Philippe; "	Reinforcement learning of listener response for mood classification of audio	2009 International Conference on Computational Science and Engineering	4		849-853	2009	IEEE
0	Review paper	"Maia, Tiago V; Huys, Quentin JM; Frank, Michael J; "	Theory-based computational psychiatry	Biological psychiatry	82	6	382-384	2017	Elsevier
0	Review paper	"Cooper, Jessica A; Arulpragasam, Amanda R; Treadway, Michael T; "	Anhedonia in depression: biological mechanisms and computational models	Current opinion in behavioral sciences	22		128-135	2018	Elsevier
DUPLICATION ALL		"Blanco, Nathaniel J; Otto, A Ross; Maddox, W Todd; Beevers, Christopher G; Love, Bradley C; "	The influence of depression symptoms on exploratory decision-making	Cognition	129	3	563-568	2013	Elsevier
DUPLICATION ALL		"Pennartz, CMA; "	Reinforcement learning by Hebbian synapses with adaptive thresholds	Neuroscience	81	2	303-319	1997	Elsevier
0	Review paper	"Whitton, Alexis E; Treadway, Michael T; Pizzagalli, Diego A; "	"Reward processing dysfunction in major depression, bipolar disorder and schizophrenia"	Current opinion in psychiatry	28	1	7	2015	NIH Public Access
DUPLICATION WOS EMBASE		"Cavanagh, James F; Bismark, Andrew; Frank, Michael J; Allen, John JB; "	Larger error signals in major depression are associated with better avoidance learning	Frontiers in psychology	2		331	2011	Frontiers
0	Review paper	"Eshel, Neir; Roiser, Jonathan P; "	Reward and punishment processing in depression	Biological psychiatry	68	2	118-124	2010	Elsevier
