Include.exclude,Full text screened,Reason,Publication.Type,Authors_wos,Book.Authors,Book.Editors,Book.Group.Authors,Author.Full.Names,Book.Author.Full.Names,Group.Authors,Article.Title,Source.Title,Book.Series.Title,Book.Series.Subtitle,Language,Document.Type,Conference.Title,Conference.Date,Conference.Location,Conference.Sponsor,Conference.Host,Author.Keywords,Keywords.Plus,Abstract,Addresses,Reprint.Addresses,Email.Addresses,Researcher.Ids,ORCIDs,Funding.Orgs,Funding.Text,Cited.References,Cited.Reference.Count,Times.Cited..WoS.Core,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,Publisher,Publisher.City,Publisher.Address,ISSN,eISSN,ISBN,Journal.Abbreviation,Journal.ISO.Abbreviation,Publication.Date,Publication.Year_wos,Volume,Issue,Part.Number,Supplement,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,Book.DOI,Early.Access.Date,Number.of.Pages,WoS.Categories,Research.Areas,IDS.Number,UT..Unique.WOS.ID.,Pubmed.Id,Open.Access.Designations,Highly.Cited.Status,Hot.Paper.Status,Date.of.Export,X,�..PMID,Authors_pubmed,Citation,First.Author,Journal.Book,Publication.Year_pubmed,Create.Date,PMCID,NIHMS.ID,ORN,VN,DB,SO,AU,PB,PT,FTURL,XL,OT,�..Cites,Authors,Year,Source,Publishergscholar,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOIgscholar,ISSNgscholar,CitationURL,Volumegscholar,Issuegscholar,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstractgscholar
0,0,No clinical group,NA,NA,NA,NA,NA,NA,NA,NA,Striatum–medial prefrontal cortex connectivity predicts developmental changes in reinforcement learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,"W Van den Bos, MX Cohen, T Kahnt…",2012,Cerebral cortex,academic.oup.com,https://academic.oup.com/cercor/article-abstract/22/6/1247/307075,"https://scholar.google.com/scholar?cites=12388678249551832914&as_sdt=2005&sciodt=0,5&hl=en",66,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,216,24,54,4,9,"… 2009; Schmithorst and Yuan 2010). To test these 2 hypotheses, a computational reinforcement learning model was applied to investigate developmental differences in 1) the neural representation of prediction errors and 2) changes in frontostriatal connectivity …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,Single dose of a dopamine agonist impairs reinforcement learning in humans: behavioral evidence from a laboratory-based measure of reward …,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,"DA Pizzagalli, AE Evins, EC Schetter, MJ Frank…",2008,…,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00213-007-0957-y&casa_token=wtrXQCwHM1wAAAAA:ij3WokTm0HR8vdA_0Ab8tnzO50t3o8SIp6uG9x7_eQIZ8zk6S5Kk9lQoTSSCt7w-QX91DI81Gi7u856p,"https://scholar.google.com/scholar?cites=7248130431237108063&as_sdt=2005&sciodt=0,5&hl=en",73,23/02/2021 14:50,HTML,NA,NA,NA,NA,NA,NA,NA,254,19.54,51,5,13,"… were simulated by reduced phasic DA bursts following positive feedback in a computational model of the … effect of a single, low dose of a D2/D3 agonist—pramipexole—on reinforcement learning in psychiatrically … 1970) to assess depression and anxiety symptoms, respectively …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,Computational modelling reveals contrasting effects on reinforcement learning and cognitive flexibility in stimulant use disorder and obsessive-compulsive …,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"JW Kanen, KD Ersche, NA Fineberg, TW Robbins…",2019,…,Springer,https://link.springer.com/article/10.1007/s00213-019-05325-w,"https://scholar.google.com/scholar?cites=14986116353593247002&as_sdt=2005&sciodt=0,5&hl=en",77,23/02/2021 14:50,HTML,NA,NA,NA,NA,NA,NA,NA,16,8,3,5,2,… has compared the microstructure of behaviour in PRL between disorders of compulsivity using computational models of reinforcement learning (RL) … The most likely values for those parameters are discovered by fitting the predictions of a computational RL model to actual …
0,0,In schizophrenia,NA,NA,NA,NA,NA,NA,NA,NA,Probabilistic reinforcement learning in patients with schizophrenia: relationships to anhedonia and avolition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,"EC Dowd, MJ Frank, A Collins, JM Gold…",2016,Biological psychiatry …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2451902216300581?casa_token=tuqACWg4exQAAAAA:k1tNYMLQGH5eIrOIOR29aAZG99A0gMPtjupedMZ2hNUAgasTgJ_-2-1TwM53xEUvq1fvKrOrwA,"https://scholar.google.com/scholar?cites=18236938838055759060&as_sdt=2005&sciodt=0,5&hl=en",82,23/02/2021 14:50,HTML,NA,NA,NA,NA,NA,NA,NA,76,15.2,15,5,5,"… 4). The work described here examines one of these processes, reinforcement learning (RL), and its … with the existing literature using such approaches, and a computational model–based approach … Model-based fMRI analyses were conducted by including trial-by-trial, subject …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,A story of two streams: Reinforcement learning models from human behavior and neuropsychiatry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"B Lin, G Cecchi, D Bouneffouf, J Reinen…",2019,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1906.11286,"https://scholar.google.com/scholar?cites=2749215496770784712&as_sdt=2005&sciodt=0,5&hl=en",86,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,18,9,4,5,2,"… after long-term drug exposure, the work by [7] proposes a computational model for cocaine … By utilizing average reward temporal difference reinforcement learning, this work incorporates the el- evation of … In the study by [16], a simple heuristic model is developed to simulate …"
0,0,Simulations,NA,NA,NA,NA,NA,NA,NA,NA,Reinforcement learning with modulated spike timing–dependent synaptic plasticity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,"MA Farries, AL Fairhall",2007,Journal of neurophysiology,journals.physiology.org,https://journals.physiology.org/doi/abs/10.1152/jn.00364.2007,"https://scholar.google.com/scholar?cites=2976611109382713111&as_sdt=2005&sciodt=0,5&hl=en",93,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,139,9.93,70,2,14,"… Journal Menu. Home; Issues; Collections; Information; About. ARTICLES. Reinforcement Learning With Modulated Spike Timing–Dependent Synaptic Plasticity. Michael A. Farries , and; Adrienne L. Fairhall. Michael A. Farries. Address …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,Anxiety impedes adaptive social learning under uncertainty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"A Lamba, MJ Frank, O FeldmanHall",2020,Psychological science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0956797620910993?casa_token=sWIk8WnlmnMAAAAA:Y-kz_I238t9ruc36o7M-9k6VFvJm0h3TjOtRj8oBaTigGVoF2SpfKoYNqsJs1LR0Ys1BM9y4eMd_,"https://scholar.google.com/scholar?cites=15562748926858408133&as_sdt=2005&sciodt=0,5&hl=en",103,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,6,6,2,3,1,"… Format, Tips on citation download. Download Citation. Download article citation data for: Anxiety Impedes Adaptive Social Learning Under Uncertainty. Amrita Lamba, Michael J. Frank, and Oriel FeldmanHall. Psychological Science 2020 31:5, 592-603. Download Citation …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,Aberrant probabilistic reinforcement learning in first-degree relatives of individuals with bipolar disorder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"JO Linke, G Koppe, V Scholz, P Kanske…",2020,Journal of affective …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165032719315940?casa_token=1JTaNiR-KxgAAAAA:BiCwlUmP24ZSEmtWPbZ0ttmvRe4xJHIXQ_NnMwy5bDuTXGEOoXbk2DexHE9hrqkUVD-U_R-sXQ,"https://scholar.google.com/scholar?cites=11511551932083108412&as_sdt=2005&sciodt=0,5&hl=en",138,23/02/2021 14:50,HTML,NA,NA,NA,NA,NA,NA,NA,2,2,0,5,1,"… Moreover, REL reported additional cases of major depression (n = =18), ADHD (n = =1), anxiety (n = =5) and alcohol use … Computational modeling. Learning of reward contingencies was assessed through a reinforcement learning model (Chase et al., 2010; Frank et al., 2007 …"
0,0,Opioid dosing,NA,NA,NA,NA,NA,NA,NA,NA,Deep reinforcement learning for optimal critical care pain management with morphine using dueling double-deep Q networks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"D Lopez-Martinez, P Eschenfeldt…",2019,2019 41st Annual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8857295/?casa_token=eD_2SeAK1woAAAAA:_K8y43BCaY7ZkMGbjcpR7txiMJMerFCHc5FFvn2IYvfbInJBqr0Yu1RVP-Z3YsfWIvjl2vve,"https://scholar.google.com/scholar?cites=1201152910874464618&as_sdt=2005&sciodt=0,5&hl=en",141,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,8,4,3,3,2,"… a novel approach for the au- tomatic dosing of analgesics based on deep reinforcement learning … effects, such as those related to unrelieved pain and respiratory depression respectively. Our model aims to learn clinically interpretable optimal treatment policies and recommend …"
0,0,Review paper,NA,NA,NA,NA,NA,NA,NA,NA,The neurobiology of motivational deficits in depression—an update on candidate pathomechanisms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,MT Treadway,2015,Behavioral Neuroscience of Motivation,Springer,https://link.springer.com/chapter/10.1007/7854_2015_400,"https://scholar.google.com/scholar?cites=10721892788029587962&as_sdt=2005&sciodt=0,5&hl=en",147,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,36,6,36,1,6,"… approach behavior, including motivation, enjoyment, optimism, and positive mood states … that may be partially responsible for motivational and reinforcement learning impairments observed in … Growing evidence from preclinical and computational modeling work suggests that …"
0,0,Financial trading,NA,NA,NA,NA,NA,NA,NA,NA,An adaptive financial trading system using deep reinforcement learning with candlestick decomposing features,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"D Fengqian, L Chao",2020,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9044812/,"https://scholar.google.com/scholar?cites=2372466744624191555&as_sdt=2005&sciodt=0,5&hl=en",149,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,1,"… INDEX TERMS Deep reinforcement learning, K-line decomposing, clustering, trading system … On the other hand, it can greatly reduce the influence of traders' mood swings and … of every financial trader and strategy researcher to train an automated trading model through artificial …"
0,0,Prediction of diabetes diagnosis,NA,NA,NA,NA,NA,NA,NA,NA,Forecasting the risk of type ii diabetes using reinforcement learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"MF Zohora, MH Tania, MS Kaiser…",2020,2020 Joint 9th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9306653/,"https://scholar.google.com/scholar?cites=11934097900265225109&as_sdt=2005&sciodt=0,5&hl=en",154,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,7,7,2,4,1,"… This model can also be easily used for the detection of other types of the … Kaiser, A. Hussain, and S. Vassanelli, “Applications of deep learning and reinforcement learning to biological … RM Khalil and A. Al-Jumaily, “Machine learning based prediction of depression among type 2 …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,A silent eligibility trace enables dopamine‐dependent synaptic plasticity for reinforcement learning in the mouse striatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,"T Shindou, M Shindou, S Watanabe…",2019,European Journal of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/ejn.13921,"https://scholar.google.com/scholar?cites=17193036186905720876&as_sdt=2005&sciodt=0,5&hl=en",159,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,33,16.5,8,4,2,… was hidden by long‐term depression occurring concurrently and was unmasked when long‐term depression blocked an L … Dopamine‐dependent synaptic plasticity in the corticostriatal pathway has been proposed as a cellular model for reinforcement learning (Reynolds et al …
0,0,Robots,NA,NA,NA,NA,NA,NA,NA,NA,Interactive Reinforcement Learning based Assistive Robot for the Emotional Support of Children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"E Gamborino, LC Fu",2018,2018 18th International Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8571998/?casa_token=Q7eCEAl-YdQAAAAA:Bos0cHyPTxUb0uCVkiunuH9pEfx41oVw7wX2JbmMI3qDIpc3g48t-veoEhDEThpJcAtpRWHi,"https://scholar.google.com/scholar?cites=10503860105932835288&as_sdt=2005&sciodt=0,5&hl=en",162,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,3,"… 5) [1, 9], a robotic companion used to mitigate anxiety, stress and pain in pediatric patients by engaging them in playful interactions … 3. PROPOSED METHODOLOGY 3.1 Emotion-Based State Classification To model this task as a Reinforcement Learning problem, the first …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,Identifying cognitive remediation change through computational modelling—Effects on reinforcement learning in schizophrenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"M Cella, AJ Bishara, E Medin, S Swan…",2014,Schizophrenia …,academic.oup.com,https://academic.oup.com/schizophreniabulletin/article-abstract/40/6/1422/1851372,"https://scholar.google.com/scholar?cites=1990310785800538098&as_sdt=2005&sciodt=0,5&hl=en",170,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,30,4.29,6,5,7,"… Article Navigation. Identifying Cognitive Remediation Change Through Computational Modelling—Effects on Reinforcement Learning in Schizophrenia. Matteo Cella, Matteo Cella *. 1 Department of Psychology, Institute of Psychiatry …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,Investigating the computational underpinnings of addiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SM Groman,2019,Neuropsychopharmacology,nature.com,https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/articles/s41386-019-0412-x&casa_token=6oxHHqo3yG4AAAAA:nY2nLUAQYwPT0Z60ySTAu9VJ0Xmdyt2uSpK2x8jly_n9UYKQ9W0i-rSttJqseZJ0dxOnSG0v7AUcx9vX,"https://scholar.google.com/scholar?cites=8826940064837193839&as_sdt=2005&sciodt=0,5&hl=en",176,23/02/2021 14:50,HTML,NA,NA,NA,NA,NA,NA,NA,1,0.5,1,1,2,"… In their recent Neuropsychopharmacology article, Zhukovsky and colleagues [3] used a computational approach to interrogate the reinforcement-learning mechanisms that … cocaine infusion in short (1 h) and long-access (6 h) sessions across 13 days to model the escalation …"
0,0,Home energy management,NA,NA,NA,NA,NA,NA,NA,NA,A multi-agent reinforcement learning-based data-driven method for home energy management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"X Xu, Y Jia, Y Xu, Z Xu, S Chai…",2020,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8981876/?casa_token=W9FI7kf1H0EAAAAA:Xbcp3z7t7LcoTk04u7W_VOSmN33uGr0OjbzIMqoIJPU2M8m3TysiINmVgMHnezSbHS8IwTKp,"https://scholar.google.com/scholar?cites=5605143629687833667&as_sdt=2005&sciodt=0,5&hl=en",180,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,26,26,4,6,1,"… of reducing electricity cost for householders but also improve the computational efficiency … By contrast, our proposed model-free data-driven based HEM method can overcome … XU et al.: MULTI-AGENT REINFORCEMENT LEARNING-BASED DATA-DRIVEN METHOD FOR HEM …"
0,1,No clinical group,NA,NA,NA,NA,NA,NA,NA,NA,Contextual influence on confidence judgments in human reinforcement learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"M Lebreton, K Bacily, S Palminteri…",2019,PLoS computational …,journals.plos.org,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006973&rev=1,"https://scholar.google.com/scholar?cites=17302385893435504938&as_sdt=2005&sciodt=0,5&hl=en",183,23/02/2021 14:50,HTML,NA,NA,NA,NA,NA,NA,NA,12,6,3,4,2,"… Despite the recent surge of neural, computational and behavioral models of confidence estimation in … how decision-makers estimate their confidence in their choices in reinforcement-learning contexts remains … 26], arousal [27], mood [28], and emotions [29] such as anxiety [30] …"
REPEAT previous,,,NA,NA,NA,NA,NA,NA,NA,NA,Moody Learners-Explaining Competitive Behaviour of Reinforcement Learning Agents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"P Barros, A Tanevska, F Cruz…",2020,2020 Joint IEEE 10th …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9278125/,"https://scholar.google.com/scholar?cites=9323643233750280833&as_sdt=2005&sciodt=0,5&hl=en",184,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,1,1,0,4,1,"… we see this work as the basis for the im- plementation of intrinsic-aware agents towards competitive reinforcement learning scenarios … Also, we will investigate in the future the integration of intrinsic personality traits in the agents' mood, in order to model unique social …"
0,0,Lecture slides,NA,NA,NA,NA,NA,NA,NA,NA,Inverse Reinforcement Learning.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,"P Abbeel, AY Ng",2010,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/56e1/d8e94a4ccd36242a6a28d975058402299eef.pdf,"https://scholar.google.com/scholar?cites=10157328359200457788&as_sdt=2005&sciodt=0,5&hl=en",191,23/02/2021 14:50,PDF,NA,NA,NA,NA,NA,NA,NA,62,5.64,31,2,11,"… TexPoint fonts used in EMF. Page 2. Inverse Reinforcement Learning [equally good titles: Inverse Optimal Control, Inverse Optimal Planning] Pieter Abbeel UC Berkeley EECS TexPoint fonts used in EMF. Page 3. High-‐level picture Dynamics Model T Reward Function R …"
0,0,Review paper,NA,NA,NA,NA,NA,NA,NA,NA,Reinforcement learning in healthcare: A survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"C Yu, J Liu, S Nemati",2019,arXiv preprint arXiv:1908.08796,arxiv.org,https://arxiv.org/abs/1908.08796,"https://scholar.google.com/scholar?cites=17089664978774144368&as_sdt=2005&sciodt=0,5&hl=en",194,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,44,22,15,3,2,"… RRL Relational Reinforcement Learning TD Temporal Difference TRL Transfer Reinforcement Learning TRPO Trust … learning efficiency for either model-based [60], [61] or model-free RL … to decompose the original problem, potentially reducing its computational complexity …"
