Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
460,"N Eshel, JP Roiser","Reward and punishment processing in depression",2010,"Biological psychiatry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006322310000697?casa_token=10_rkv_EVj0AAAAA:zY5KyrOE2f9hR8SjnumXVlQmTOSYKIKFDOG2nm3oSyv7PydyAB5vyeISnHsYYGiPhv3C8btpSA","https://scholar.google.com/scholar?cites=2302557379648199934&as_sdt=2005&sciodt=0,5&hl=en",43,"2021-02-23 14:50:47","HTML","","","",,,,,460,41.82,230,2,11,"… of MDD, from Seligman's learned helplessness model (6) to Beck's cognitive model (7). These … it is necessary to show that depressed patients have difficulty with reinforcement learning and decision … Finally, we review computational modeling work, which has begun to provide a …"
27,"OJ Robinson, HW Chase","Learning and choice in mood disorders: searching for the computational parameters of anhedonia",2017,"Computational Psychiatry","MIT Press","https://www.mitpressjournals.org/doi/abs/10.1162/CPSY_a_00009","https://scholar.google.com/scholar?cites=3756192986545152849&as_sdt=2005&sciodt=0,5&hl=en",44,"2021-02-23 14:50:47","","","","",,,,,27,6.75,14,2,4,"… Computational approaches are increasingly being used to model behavioral and … We first highlight the parameters of reinforcement learning that have been implicated in anhedonia, focusing, in particular, on the role that choice variability (ie, “temperature”) may play in …"
587,"TV Maia, MJ Frank","From reinforcement learning models to psychiatric and neurological disorders",2011,"Nature neuroscience","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/neuro/journal/v14/n2/full/nn.2723.html&casa_token=naE6Fbi46nAAAAAA:esVJsoyQP91-bqhoosuXTnkRBVXtjJYrBzfwZTzVZNIyCzJJvkMP5ExMwO0C-2yMhOHNpODOF0ETwJPx","https://scholar.google.com/scholar?cites=11435771553740641746&as_sdt=2005&sciodt=0,5&hl=en",45,"2021-02-23 14:50:47","HTML","","","",,,,,587,58.70,294,2,10,"… events5. Despite some attempts to reconcile these findings with reinforcement learning20, additional … represents the current state and the basal ganglia implement two computational modules: the … have been supported by empirical evidence41, as has the model prediction that …"
573,"Y Li","Deep reinforcement learning: An overview",2017,"arXiv preprint arXiv:1701.07274","arxiv.org","https://arxiv.org/abs/1701.07274","https://scholar.google.com/scholar?cites=14769474351722042070&as_sdt=2005&sciodt=0,5&hl=en",46,"2021-02-23 14:50:47","","","","",,,,,573,143.25,573,1,4,"… directly from experience with TD error, with bootstrapping, in a model-free, online … However, the integration of reinforcement learning and neural networks dated back a long time … function approximation for scalability and gener- alization, bootstrapping for computational and data …"
58,"RD Samson, MJ Frank, JM Fellous","Computational models of reinforcement learning: the role of dopamine as a reward signal",2010,"Cognitive neurodynamics","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/content/pdf/10.1007/s11571-010-9109-x.pdf&casa_token=NUeTJIWklUgAAAAA:XhNmdcRDSQuAsMOaqbDlf2fkni1nVmaZP4QeXRI054Wkevn8ge-g-A49AJe1q-6UDlaGOrbYw8tS_d1M","https://scholar.google.com/scholar?cites=4239847706232012188&as_sdt=2005&sciodt=0,5&hl=en",47,"2021-02-23 14:50:47","PDF","","","",,,,,58,5.27,19,3,11,"… 3 Multiple Model Reinforcement Learning (MMRL) model … Current computational models do not typically account for these data … The model parameters included a 'kick' factor to facilitate and a 'relax' factor to depress the influence of input spikes so that the associated time constant …"
92,"BB Doll, KG Bath, ND Daw, MJ Frank","Variability in dopamine genes dissociates model-based and model-free reinforcement learning",2016,"Journal of Neuroscience","Soc Neuroscience","https://www.jneurosci.org/content/36/4/1211.short","https://scholar.google.com/scholar?cites=11285714409712423549&as_sdt=2005&sciodt=0,5&hl=en",48,"2021-02-23 14:50:47","","","","",,,,,92,18.40,23,4,5,""
150,"HW Chase, MJ Frank, A Michael…","Approach and avoidance learning in patients with major depression and healthy controls: relation to anhedonia",2010,"Psychological …","ski.cog.brown.edu","http://ski.cog.brown.edu/papers/ChaseEtAl10.pdf","https://scholar.google.com/scholar?cites=3395914852222332057&as_sdt=2005&sciodt=0,5&hl=en",49,"2021-02-23 14:50:47","PDF","","","",,,,,150,13.64,38,4,11,"… Adult Reading Test; BDI, Beck Depression Inventory; BAI, Beck Anxiety Inventory; MADRS … to capture individual differences in RTs whereas we attempted to model choice behaviour … The neural basis of human error processing: reinforcement learning, dopamine, and the error …"
422,"MJ Frank, BS Woroch, T Curran","Error-related negativity predicts reinforcement learning and conflict biases",2005,"Neuron","Elsevier","https://www.sciencedirect.com/science/article/pii/S089662730500526X","https://scholar.google.com/scholar?cites=636879915616162716&as_sdt=2005&sciodt=0,5&hl=en",50,"2021-02-23 14:50:47","HTML","","","",,,,,422,26.38,141,3,16,"… Specifically, our computational model of the basal ganglia suggests that dips in DA enable … We recently confirmed a central prediction of this model by showing that … medication reversed this bias, improving positive but impairing negative reinforcement learning, consistent with …"
121,"AR Mathew, L Hogarth, AM Leventhal, JW Cook…","Cigarette smoking and depression comorbidity: systematic review and proposed theoretical model",2017,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/add.13604?casa_token=BtIQ90wZ8DQAAAAA:DYoi5oUUDEpsJ0pOKL6uk08O22cLWBti04KmFp_4iX_2ohXpmkUuXhmxPflaNOBIwjqdth6BtR8kxms","https://scholar.google.com/scholar?cites=10645876487205139997&as_sdt=2005&sciodt=0,5&hl=en",51,"2021-02-23 14:50:47","","","","",,,,,121,30.25,24,5,4,"… to appetitive emotion, including diminished pleasure, interest, expectancy, motivation and reinforcement learning 54, 57 … constructs related to aversive emotion including sadness, irritability, anxiety, low distress … In the proposed theoretical model, low PA and high NA represent …"
216,"B Recht","A tour of reinforcement learning: The view from continuous control",2019,"Annual Review of Control, Robotics, and Autonomous …","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-control-053018-023825?casa_token=POwzGKounEYAAAAA:E3qi7YqXo3nOpHzqbdMHDoRL7H_9rOaUjrwH16dv_8HaKBCSAf7FFzTGYMvV75A5a5yt7ZyZCz65","https://scholar.google.com/scholar?cites=12077852862286804298&as_sdt=2005&sciodt=0,5&hl=en",52,"2021-02-23 14:50:47","","","","",,,,,216,108.00,216,1,2,"… other. Control is the theory of designing complex actions from well-specified models, while reinforcement learning often makes intricate, model-free predictions from data alone. Yet … optimality. 3.1. Model-Based Reinforcement Learning. One …"
43,"RV Florian","A reinforcement learning algorithm for spiking neural networks",2005,"… Symposium on Symbolic and Numeric Algorithms …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1595864/?casa_token=08Y4Rv8TADcAAAAA:3fK19d14YE4Q06TBAraVxpWsu2Gumny4b0SdokTvD9ArusVODJvp376IgLBc6HtANgrKD_IX","https://scholar.google.com/scholar?cites=7557304549848841575&as_sdt=2005&sciodt=0,5&hl=en",53,"2021-02-23 14:50:47","","","","",,,,,43,2.69,43,1,16,"… are important especially in the context of embod- ied computational neuroscience, where … 4. Relevance to neuroscience: Reinforcement learning and spike-timing-dependent plas- ticity (STDP) … However, the model pre- dicts non-associative depression in this case, instead of the …"
614,"MJ Frank, ED Claus","Anatomy of a decision: striato-orbitofrontal interactions in reinforcement learning, decision making, and reversal.",2006,"Psychological review","psycnet.apa.org","https://psycnet.apa.org/journals/rev/113/2/300.html?uid=2006-04733-004","https://scholar.google.com/scholar?cites=16654297544076147369&as_sdt=2005&sciodt=0,5&hl=en",54,"2021-02-23 14:50:47","","","","",,,,,614,40.93,307,2,15,"… and others that phasic changes in DA release are critically involved in reinforcement learning processes that … Computational models have suggested that the primary effect of DA in the BG is to … sufficient to functionally affect D2 receptors, which drives no-go learning in our model …"
82,"X Wang, Y Wang, D Hsu, Y Wang","Exploration in interactive personalized music recommendation: a reinforcement learning approach",2014,"ACM Transactions on Multimedia …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2623372?casa_token=3ZTcnstirU4AAAAA:ZXifL8ufQxhyYTcDd_M8DzpzY01INTNyeWYiZz9evVq0hfL5gJh64Fux3YFO-NAPJeGINMQ83aTf","https://scholar.google.com/scholar?cites=5405103119904723802&as_sdt=2005&sciodt=0,5&hl=en",55,"2021-02-23 14:50:47","","","","",,,,,82,11.71,21,4,7,"… 2012] or have a consistent mood [Logan 2002], but are diversified at the … In this work, we formulate interactive, personalized music recommendation as a reinforcement learning task called … the exploration-exploitation trade-off and playlist generation with a single unified model …"
37,"JA Cooper, AR Arulpragasam, MT Treadway","Anhedonia in depression: biological mechanisms and computational models",2018,"Current opinion in behavioral …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352154617301973?casa_token=bCCTSXD9QCUAAAAA:tppcR3xg4zhyLKDfGJUPwfaALoj4Vr9XneGz9v7hmg9iBh4FHrnEeu1jyXuOXAfdwUslIQcGJw","https://scholar.google.com/scholar?cites=10746948600293805415&as_sdt=2005&sciodt=0,5&hl=en",56,"2021-02-23 14:50:47","HTML","","","",,,,,37,12.33,12,3,3,"… explanation for these null findings is that deficits in DAergic model-free signaling … Computational psychiatry in depression: motivation and effort-based decision-making. In addition to reinforcement learning, another common behavioral manifestation of anhedonia in depression is …"
350,"JF Cavanagh, MJ Frank, TJ Klein, JJB Allen","Frontal theta links prediction errors to behavioral adaptation in reinforcement learning",2010,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S105381190901266X?casa_token=0sfllmxWFAkAAAAA:0pQWmumgG39uDryBvBuBszWuZDYNxM9exYwSn3ZfKOOpp8nbFrOJp_xuEyo7Ns_e0CeG1I2fEw","https://scholar.google.com/scholar?cites=6474530991703126585&as_sdt=2005&sciodt=0,5&hl=en",57,"2021-02-23 14:50:47","HTML","","","",,,,,350,31.82,88,4,11,"… Performance data from the reinforcement learning task were fit to an abstract computational model (Q-learning … Participants were invited to a screening session if they indicated low levels of depressive symptomatology on the Beck Depression Inventory (BDI score < 7) during …"
38,"PP Balasubramani, VS Chakravarthy…","An extended reinforcement learning model of basal ganglia to understand the contributions of serotonin and dopamine in risk-based decision making, reward …",2014,"… in computational …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fncom.2014.00047/full","https://scholar.google.com/scholar?cites=4775471399522454598&as_sdt=2005&sciodt=0,5&hl=en",58,"2021-02-23 14:50:47","HTML","","","",,,,,38,5.43,13,3,7,"… of mesencephalic DA neurons are found to closely resemble temporal difference error (TD) in Reinforcement Learning (RL) (Schultz … There is no single computational theory that integrates and reconciles the existing computational perspectives of 5HT function … Our Model in Brief …"
3974,"CB Holroyd, MGH Coles","The neural basis of human error processing: reinforcement learning, dopamine, and the error-related negativity.",2002,"Psychological review","psycnet.apa.org","https://psycnet.apa.org/record/2002-18225-003","https://scholar.google.com/scholar?cites=17963634357287937398&as_sdt=2005&sciodt=0,5&hl=en",59,"2021-02-23 14:50:47","","","","",,,,,3974,209.16,1987,2,19,"… dopamine system can facilitate both long-term potentiation and long-term depression at its … our hypothesis are (a) that the ERN reflects the transmission of a reinforcement learning signal to … In this section, we formalize the assumptions described above in a computational model …"
79,"P Dayan","Dopamine, reinforcement learning, and addiction",2009,"Pharmacopsychiatry","thieme-connect.com","https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1124107","https://scholar.google.com/scholar?cites=15708042508458037298&as_sdt=2005&sciodt=0,5&hl=en",60,"2021-02-23 14:50:47","","","","",,,,,79,6.58,79,1,12,"… A computational model of learned avoidance behavior in a one-way avoidance experiment … Addiction as a computational process gone awry … Reconciling reinforcement learning models with behavioral extinction and renewal: implications for addiction, relapse, and problem …"
332,"AD Redish, S Jensen, A Johnson…","Reconciling reinforcement learning models with behavioral extinction and renewal: implications for addiction, relapse, and problem gambling.",2007,"Psychological …","psycnet.apa.org","https://psycnet.apa.org/record/2007-10421-010","https://scholar.google.com/scholar?cites=3565892907732979218&as_sdt=2005&sciodt=0,5&hl=en",61,"2021-02-23 14:50:47","","","","",,,,,332,23.71,83,4,14,"… unlearning. However, reinforcement learning models, such as the temporal difference reinforcement learning (TDRL) model, treat extinction as an unlearning of associated value and are thus unable to capture renewal. TDRL …"
73,"S Palminteri, EJ Kilford, G Coricelli…","The computational development of reinforcement learning during adolescence",2016,"PLoS computational …","journals.plos.org","https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004953","https://scholar.google.com/scholar?cites=9379544770484463144&as_sdt=2005&sciodt=0,5&hl=en",62,"2021-02-23 14:50:47","HTML","","","",,,,,73,14.60,18,4,5,"… Differences in reinforcement learning strategies may in turn contribute to an explanation of features of adolescent value-directed behaviour … In a previous study, model comparison showed that adult behaviour in this task is best explained by a computational model in which basic …"
49,"X Qi, Y Luo, G Wu, K Boriboonsomsin…","Deep reinforcement learning enabled self-learning control for energy efficient driving",2019,"… Research Part C …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0968090X18318862?casa_token=iWjHiXKYkc4AAAAA:Lk0asFiKbpt3jj1F0YPd0BJxOHK112ed0SvFcs9atVtaE2Epb4QqTtX2VmgH0xjHUTlgxLbtdA","https://scholar.google.com/scholar?cites=11034685488963356590&as_sdt=2005&sciodt=0,5&hl=en",63,"2021-02-23 14:50:47","HTML","","","",,,,,49,24.50,10,5,2,"… forward powertrain model (including the engine-generator model, battery model and vehicle dynamical model) to calculate … (2017) proposed a reinforcement learning based look … shows the proposed control is able to achieve better fuel efficiency and computational performance …"
75,"G Luksys, W Gerstner, C Sandi","Stress, genotype and norepinephrine in the prediction of mouse behavior using reinforcement learning",2009,"Nature neuroscience","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/neuro/journal/v12/n9/full/nn.2374.html&casa_token=7hP1960VeD4AAAAA:0BU2axrEf3kGQtfkjKEf8Z0PebUvKT72jvkyhlD6wpvW9tn28pyjPNkOyobjHv8YcTa33xj6Iw9QBSUi","https://scholar.google.com/scholar?cites=5851821612240736723&as_sdt=2005&sciodt=0,5&hl=en",64,"2021-02-23 14:50:47","HTML","","","",,,,,75,6.25,25,3,12,"… Furthermore, to study the link between reinforcement-learning metaparameters and neuromodulation, we pharmacologically … This aspect was explicitly included in our computational model and became useful for … These differences might be related to the different anxiety levels …"
220,"AGE Collins, MJ Frank","Opponent actor learning (OpAL): modeling interactive effects of striatal dopamine on reinforcement learning and choice incentive.",2014,"Psychological review","psycnet.apa.org","https://psycnet.apa.org/record/2014-31650-003","https://scholar.google.com/scholar?cites=15021302925332102351&as_sdt=2005&sciodt=0,5&hl=en",65,"2021-02-23 14:50:47","","","","",,,,,220,31.43,110,2,7,"… This implementation contrasts with previous attempts to model asymmetric learning via separate … Although this rule is often linked to reinforcement learning models, those typically do not … than actor weights within a unitary system, potentially affords computational advantages in …"
216,"W Van den Bos, MX Cohen, T Kahnt…","Striatum–medial prefrontal cortex connectivity predicts developmental changes in reinforcement learning",2012,"Cerebral cortex","academic.oup.com","https://academic.oup.com/cercor/article-abstract/22/6/1247/307075","https://scholar.google.com/scholar?cites=12388678249551832914&as_sdt=2005&sciodt=0,5&hl=en",66,"2021-02-23 14:50:47","","","","",,,,,216,24.00,54,4,9,"… 2009; Schmithorst and Yuan 2010). To test these 2 hypotheses, a computational reinforcement learning model was applied to investigate developmental differences in 1) the neural representation of prediction errors and 2) changes in frontostriatal connectivity …"
0,"T Gui, Q Zhang, L Zhu, X Zhou, M Peng…","Depression Detection on Social Media with Reinforcement Learning",2019,"… Chinese Computational …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-32381-3_49","",67,"2021-02-23 14:50:47","","","","",,,,,0,0.00,0,6,2,"Depression detection is a significant issue for human well-being. Conventional diagnosis of depression requires a face-to-face conversation with a doctor, which limits the likelihood of the identification of potential patients. We instead explore the potential of using only the …"
80,"SPCC Gadanho","Reinforcement learning in autonomous robots: An empirical investigation of the role of emotions",1999,"","era.ed.ac.uk","https://era.ed.ac.uk/handle/1842/360","https://scholar.google.com/scholar?cites=11456370212038097785&as_sdt=2005&sciodt=0,5&hl=en",68,"2021-02-23 14:50:47","","","","",,,,,80,3.64,80,1,22,"… the emotion model above could be inte- grated in a reinforcement learning framework which … found inappropriate because of the time scale discrepancies introduced by the emotion model … in this role, enabling better performance with substantially less computational effort than …"
202,"PF Dominey","Complex sensory-motor sequence learning based on recurrent state representation and reinforcement learning",1995,"Biological cybernetics","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/BF00201428&casa_token=1IrPigRubcsAAAAA:ektdszOWexvI_RbSNtMfpC-SvsM8yikuk7Q54Z6YunLKdAsMGvmjs8fS-3GdWDBOH3frodRA_Ldm8nvy","https://scholar.google.com/scholar?cites=17843014476807990674&as_sdt=2005&sciodt=0,5&hl=en",69,"2021-02-23 14:50:47","","","","",,,,,202,7.77,202,1,26,"… In addressing the motor expression of a sensory input sequence, the model differs from many sequence learning models (eg Herz … sequence of network states gener- ated by sensory input (and recurrent motor output signals) become associated by reinforcement learning with a …"
3,"A Steinke, F Lange, B Kopp","Parallel model-based and model-free reinforcement learning for card sorting performance",2020,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-020-72407-7","https://scholar.google.com/scholar?cites=854468557817469459&as_sdt=2005&sciodt=0,5&hl=en",70,"2021-02-23 14:50:47","HTML","","","",,,,,3,3.00,1,3,1,"Parallel model-based and model-free reinforcement learning for card sorting performance. Download PDF. Article; Open Access; Published: 22 September 2020. Parallel model-based and model-free reinforcement learning for card sorting performance …"
847,"P Dayan, BW Balleine","Reward, motivation, and reinforcement learning",2002,"Neuron","Elsevier","https://www.sciencedirect.com/science/article/pii/S0896627302009637","https://scholar.google.com/scholar?cites=11359147579559000691&as_sdt=2005&sciodt=0,5&hl=en",71,"2021-02-23 14:50:47","HTML","","","",,,,,847,44.58,424,2,19,"… et al. 1995, Suri and Schultz 1998, Suri and Schultz 1999. A popular reinforcement learning model called the actor-critic has been used to offer an account of the main subdivisions of the midbrain dopamine system. In one version …"
189,"Y Niv, D Joel, I Meilijson, E Ruppin","Evolution of reinforcement learning in uncertain environments: A simple explanation for complex foraging behaviors",2002,"","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1059-712302-010001-01?casa_token=k9HA93TxXMYAAAAA:Y3WXIulrFl1Mz3jga_x57-WQVRlkYdnszaTlbM6QhYxqVl3KMjY4VjeOqqfzJ3CP_q6FPrfxabHh","https://scholar.google.com/scholar?cites=4223054211316003985&as_sdt=2005&sciodt=0,5&hl=en",72,"2021-02-23 14:50:47","","","","",,,,,189,9.95,47,4,19,"… Niv, Joel, Meilijson, & Ruppin Evolution of Reinforcement Learning 7 … & Linster, 1998; Schacher et al., 1997; Vogt & Nicoll, 1999) and have been recognized to increase the computational com- plexity … In the following section we describe the model and the evolutionary dynamics …"
254,"DA Pizzagalli, AE Evins, EC Schetter, MJ Frank…","Single dose of a dopamine agonist impairs reinforcement learning in humans: behavioral evidence from a laboratory-based measure of reward …",2008,"…","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00213-007-0957-y&casa_token=wtrXQCwHM1wAAAAA:ij3WokTm0HR8vdA_0Ab8tnzO50t3o8SIp6uG9x7_eQIZ8zk6S5Kk9lQoTSSCt7w-QX91DI81Gi7u856p","https://scholar.google.com/scholar?cites=7248130431237108063&as_sdt=2005&sciodt=0,5&hl=en",73,"2021-02-23 14:50:47","HTML","","","",,,,,254,19.54,51,5,13,"… were simulated by reduced phasic DA bursts following positive feedback in a computational model of the … effect of a single, low dose of a D2/D3 agonist—pramipexole—on reinforcement learning in psychiatrically … 1970) to assess depression and anxiety symptoms, respectively …"
8,"D Schulz, FA Henn, D Petri, JP Huston","Rats bred for helplessness exhibit positive reinforcement learning deficits which are not alleviated by an antidepressant dose of the MAO-B inhibitor deprenyl",2016,"Neuroscience","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306452216301348?casa_token=Pc1W-C7kBDAAAAAA:2_q2ZtEaHAgwBTnFT-xdaaycEpghJTZRj9_KDi9WlGwvSVE-IMTDTtuY3zgINcxp6joajyUBkQ","https://scholar.google.com/scholar?cites=166573824384459439&as_sdt=2005&sciodt=0,5&hl=en",74,"2021-02-23 14:50:47","HTML","","","",,,,,8,1.60,2,4,5,"… role in the etiology and treatment of psychiatric disorders, including addiction and anxiety disorders (Myers … Another animal model proposes that operant extinction, a form of new learning … in these rats likely involved the mechanism of negative reinforcement learning because the …"
9,"H Jasso, J Triesch, G Deák","A reinforcement learning model of social referencing",2008,"2008 7th IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4640844/?casa_token=4uBK4uLnrlwAAAAA:RBUdEhzu4JqH2DoKjsBd7KkJXBbC1962Da25a1KgokJirdodb3lhEI7ZFVIP4cKFm_S8w1mT","https://scholar.google.com/scholar?cites=13696939333928495216&as_sdt=2005&sciodt=0,5&hl=en",75,"2021-02-23 14:50:47","","","","",,,,,9,0.69,3,3,13,"… [13] Dayan, P., & Abbott, LF (2001). Theoretical Neu- roscience: Computational and Mathematical Model- ing of Neural Systems. Cambridge, MA, USA: MIT Press. [14] Jasso, H. A reinforcement learning model of gaze following, Unpublished Ph.D. dissertation …"
36,"X Qi, Y Luo, G Wu, K Boriboonsomsin…","Deep reinforcement learning-based vehicle energy efficiency autonomous learning system",2017,"2017 IEEE Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7995880/?casa_token=dGAkc90bOlUAAAAA:OAd4VExwP8Jv5yWQxvX7wNjBuMd4jMadsKX69JGKOGy-4Nzs_bw74XlHIPElsKLbD09Pr4uF","https://scholar.google.com/scholar?cites=11877861587550172167&as_sdt=2005&sciodt=0,5&hl=en",76,"2021-02-23 14:50:47","","","","",,,,,36,9.00,7,5,4,"… V. CONCLUSIONS In this paper, a deep reinforcement learning based real- time energy management system is designed and tested … The proposed model combines a Q-learning and a deep neural network to form a deep Q … [3] M. Faraj and O. Basir, ""Range anxiety reduction in …"
16,"JW Kanen, KD Ersche, NA Fineberg, TW Robbins…","Computational modelling reveals contrasting effects on reinforcement learning and cognitive flexibility in stimulant use disorder and obsessive-compulsive …",2019,"…","Springer","https://link.springer.com/article/10.1007/s00213-019-05325-w","https://scholar.google.com/scholar?cites=14986116353593247002&as_sdt=2005&sciodt=0,5&hl=en",77,"2021-02-23 14:50:47","HTML","","","",,,,,16,8.00,3,5,2,"… has compared the microstructure of behaviour in PRL between disorders of compulsivity using computational models of reinforcement learning (RL) … The most likely values for those parameters are discovered by fitting the predictions of a computational RL model to actual …"
166,"MJ Frank, C Gagne, E Nyhus, S Masters…","fMRI and EEG predictors of dynamic decision parameters during human reinforcement learning",2015,"Journal of …","Soc Neuroscience","https://www.jneurosci.org/content/35/2/485.short","https://scholar.google.com/scholar?cites=11546452665857796065&as_sdt=2005&sciodt=0,5&hl=en",78,"2021-02-23 14:50:47","","","","",,,,,166,27.67,33,5,6,""
134,"DL Santesso, DG Dillon, JL Birk, AJ Holmes, E Goetz…","Individual differences in reinforcement learning: behavioral, electrophysiological, and neuroimaging correlates",2008,"Neuroimage","Elsevier","https://www.sciencedirect.com/science/article/pii/S105381190800668X?casa_token=8CKFsBmu6nsAAAAA:biM58Z2PXGGW1Gn7Bdo9lC6WrNwBvOyjUI-fNEhj0uVNpRnvBvua2_d4BAbxdZ0zk9naG64_Sw","https://scholar.google.com/scholar?cites=17627886075289840487&as_sdt=2005&sciodt=0,5&hl=en",79,"2021-02-23 14:50:47","HTML","","","",,,,,134,10.31,22,6,13,"… Mounting evidence suggests that this reinforcement learning may depend on the basal ganglia and … Consistent with this assumption, in a computational model of striatal–cortical function (Frank … Watson et al., 1995) to assess depressive symptoms, anxiety symptoms, anhedonic …"
114,"M Chen, S Wang, PP Liang, T Baltrušaitis…","Multimodal sentiment analysis with word-level fusion and reinforcement learning",2017,"Proceedings of the 19th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3136755.3136801?casa_token=zgMj6OllunYAAAAA:1C_3sZz03hkTfHY8o1Vt4E_ZKv2YnE8Wgvy049WWeBuUIiYobKz2rZfUjETmjV6hBM3iO-zEVAKM","https://scholar.google.com/scholar?cites=14022442853934934096&as_sdt=2005&sciodt=0,5&hl=en",80,"2021-02-23 14:50:47","","","","",,,,,114,28.50,23,5,4,"… have been used for sentiment analysis [28, 45, 46]; medical purposes, such as detection of suicidal risk, PTSD and depression [29, 34 … Multimodal Sentiment Analysis, Word-Level Fusion, Reinforcement Learning … Embedding Layer and the LSTM with Temporal Attention model …"
62,"S Ziegler, ML Pedersen, AM Mowinckel…","Modelling ADHD: A review of ADHD theories through their predictions for computational models of decision-making and reinforcement learning",2016,"… & Biobehavioral Reviews","Elsevier","https://www.sciencedirect.com/science/article/pii/S0149763415301846?casa_token=MmjXwScworwAAAAA:y7WbNVaDtQF-jzCoWh9f494KZsMrstmVawjxnmbjWUucoM7X_WTZCeyPW-cW4TdR77jREaWTXQ","https://scholar.google.com/scholar?cites=11108308558386894134&as_sdt=2005&sciodt=0,5&hl=en",81,"2021-02-23 14:50:47","HTML","","","",,,,,62,12.40,16,4,5,""
76,"EC Dowd, MJ Frank, A Collins, JM Gold…","Probabilistic reinforcement learning in patients with schizophrenia: relationships to anhedonia and avolition",2016,"Biological psychiatry …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2451902216300581?casa_token=tuqACWg4exQAAAAA:k1tNYMLQGH5eIrOIOR29aAZG99A0gMPtjupedMZ2hNUAgasTgJ_-2-1TwM53xEUvq1fvKrOrwA","https://scholar.google.com/scholar?cites=18236938838055759060&as_sdt=2005&sciodt=0,5&hl=en",82,"2021-02-23 14:50:47","HTML","","","",,,,,76,15.20,15,5,5,"… 4). The work described here examines one of these processes, reinforcement learning (RL), and its … with the existing literature using such approaches, and a computational model–based approach … Model-based fMRI analyses were conducted by including trial-by-trial, subject …"
29,"JP Grogan, D Tsivos, L Smith, BE Knight, R Bogacz…","Effects of dopamine on reinforcement learning and consolidation in Parkinson's disease",2017,"Elife","elifesciences.org","https://elifesciences.org/articles/26801","https://scholar.google.com/scholar?cites=3592933639305527330&as_sdt=2005&sciodt=0,5&hl=en",83,"2021-02-23 14:50:47","","","","",,,,,29,7.25,5,6,4,"… A dual learning rate Q-learning model where the learning rates did not differ by … Learning Eighteen PD patients and 18 HC completed the original PST (Frank et al., 2004) … Combining computational synaptic tagging and capture models with basal ganglia RL models would show …"
251,"CT Law, JI Gold","Reinforcement learning can account for associative and perceptual learning on a visual-decision task",2009,"Nature neuroscience","nature.com","https://idp.nature.com/authorize/casa?redirect_uri=https://www.nature.com/neuro/journal/v12/n5/full/nn.2304.html&casa_token=KgXUXHtIfPIAAAAA:-XRWvkPH7COh6LwhcjQLh8GFg3T7Rx-tblpgI-Hw4kIndOHokjP0scVsEowZOIPDaLq9ZhciYlhLRhHW","https://scholar.google.com/scholar?cites=3696758525953017280&as_sdt=2005&sciodt=0,5&hl=en",84,"2021-02-23 14:50:47","HTML","","","",,,,,251,20.92,126,2,12,"… RESULTS A decision-making, reinforcement-learning model Our model is based on a pooling scheme that relates the activity of a population of MT-like neurons to a perceptual decision about motion direction and on a reinforcement-learning rule that evaluates and adjusts this …"
193,"G Story, I Vlaev, B Seymour, A Darzi…","Does temporal discounting explain unhealthy behavior? A systematic review and reinforcement learning perspective",2014,"Frontiers in behavioral …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fnbeh.2014.00076/full","https://scholar.google.com/scholar?cites=1964064948386435631&as_sdt=2005&sciodt=0,5&hl=en",85,"2021-02-23 14:50:47","HTML","","","",,,,,193,27.57,39,5,7,"… these state-based effects in terms of the interplay of two distinct reinforcement learning mechanisms: a “model-based” (or goal-directed) system and a “model-free” (or … We propose that the burgeoning development of computational models of these processes will permit further …"
