Include/exclude at abstract review,Reason,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
0,Traffic analysis,B,"Bacchiani, G; Molinari, D; Patander, M",,,Assoc Comp Machinery,"Bacchiani, Giulio; Molinari, Daniele; Patander, Marco",,,Microscopic Traffic Simulation by Cooperative Multi-agent Deep Reinforcement Learning,AAMAS '19: PROCEEDINGS OF THE 18TH INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS AND MULTIAGENT SYSTEMS,,,,,18th International Conference on Autonomous Agents and MultiAgent Systems (AAMAS),"MAY 13-17, 2019","Montreal, CANADA","Assoc Comp Machinery, Int Fdn Autonomous Agents & MultiAgent Syst, NSF, Artificial Intelligence Journal, Tourisme Montreal, J P Morgan, DeepMind, ACM SIGAI, Concordia Univ",,,,,,,,"Molinari, Daniele/AAA-1034-2019",,,,,,,,,,,,,,,978-1-4503-6309-9,,,,2019,,,,,,,1547,1555,,,,,,,,,WOS:000474345000178,,,,,
0,Battery security,S,"Kang, LW; Shen, HY",,"Ramachandran, GS; Ortiz, J",,"Kang, Liuwang; Shen, Haiying",,,Preventing Battery Attacks on Electrical Vehicles based on Data-Driven Behavior Modeling,ICCPS '19: PROCEEDINGS OF THE 2019 10TH ACM/IEEE INTERNATIONAL CONFERENCE ON CYBER-PHYSICAL SYSTEMS,ACM-IEEE International Conference on Cyber-Physical Systems,,,,10th ACM/IEEE International Conference on Cyber-Physical Systems (ICCPS),"APR 16-18, 2019","Montreal, CANADA","Assoc Comp Machinery, IEEE, IEEE TCRTS",,,,,,,,,,,,,,,,,,,,,2375-8317,,978-1-4503-6285-6,,,,2019,,,,,,,35,46,,10.1145/3302509.3311035,,,,,,,WOS:000473800800004,,,,,
0,Off topic (pedagogical optimism),S,"Arskieva, ZA",,"KarimSultanovich, BD",,"Arskieva, Zaliya Abasovna",,,FORMATION OF PEDAGOGICAL OPTIMISM OF BACHELOR BY MEANS OF COGNITIVE ACTIVITY,SOCIAL AND CULTURAL TRANSFORMATIONS IN THE CONTEXT OF MODERN GLOBALISM (SCTCGM 2018),European Proceedings of Social and Behavioural Sciences,,,,Conference on Social and Cultural Transformations in the Context of Modern Globalism (SCTCGM),"NOV 01-03, 2018","Russian Acad Sci, Complex Res Inst Kh I Ibragimov, Groznyi, RUSSIA",,"Russian Acad Sci, Complex Res Inst Kh I Ibragimov",,,,,,,,,,,,,,,,,,,,2357-1330,,,,,,2019,58,,,,,,135,141,,10.15405/epsbs.2019.03.02.16,,,,,,,WOS:000472156000016,,,,,
0,Review paper,J,"Scholl, J; Klein-Flugge, M",,,,"Scholl, Jacqueline; Klein-Flugge, Miriam",,,Understanding psychiatric disorder by capturing ecologically relevant features of learning and decision-making,BEHAVIOURAL BRAIN RESEARCH,,,,,,,,,,,,,,,,,"Klein-Flugge, Miriam/0000-0002-5156-9833",,,,,,,,,,,,0166-4328,1872-7549,,,,Dec-14,2018,355,,,,SI,,56,75,,10.1016/j.bbr.2017.09.050,,,,,,,WOS:000446147100007,28966147,,,,
0,Avian basal ganglia (off topic),J,"Kojima, S; Kao, MH; Doupe, AJ; Brainard, MS",,,,"Kojima, Satoshi; Kao, Mimi H.; Doupe, Allison J.; Brainard, Michael S.",,,The Avian Basal Ganglia Are a Source of Rapid Behavioral Variation That Enables Vocal Motor Exploration,JOURNAL OF NEUROSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0270-6474,,,,,Nov-07,2018,38,45,,,,,9635,9647,,10.1523/JNEUROSCI.2915-17.2018,,,,,,,WOS:000449355600003,30249800,,,,
0,Rats,J,"Lamontagne, SJ; Melendez, SI; Olmstead, MC",,,,"Lamontagne, Steven J.; Melendez, Sofia I.; Olmstead, Mary C.",,,Investigating dopamine and glucocorticoid systems as underlying mechanisms of anhedonia,PSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0033-3158,1432-2072,,,,NOV,2018,235,11,,,,,3103,3113,,10.1007/s00213-018-5007-4,,,,,,,WOS:000448485500003,30136143,,,,
0,All healthy volunteers,J,"Morriss, J; Chapman, C; Tomlinson, S; van Reekum, CM",,,,"Morriss, Jayne; Chapman, Catherine; Tomlinson, Susan; van Reekum, Carien M.",,,Escape the bear and fall to the lion: The impact of avoidance availability on threat acquisition and extinction,BIOLOGICAL PSYCHOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0301-0511,1873-6246,,,,OCT,2018,138,,,,,,73,80,,10.1016/j.biopsycho.2018.08.017,,,,,,,WOS:000448405900010,30144498,,,,
0,Chronic pain (off topic),J,"Rabbi, M; Aung, MSH; Gay, G; Reid, MC; Choudhury, T",,,,"Rabbi, Mashfiqui; Aung, Min S. H.; Gay, Geri; Reid, M. Cary; Choudhury, Tanzeem",,,Feasibility and Acceptability of Mobile Phone-Based Auto-Personalized Physical Activity Recommendations for Chronic Pain Self-Management: Pilot Study on Adults,JOURNAL OF MEDICAL INTERNET RESEARCH,,,,,,,,,,,,,,,,,"Reid, Cary/0000-0001-8117-662X",,,,,,,,,,,,1438-8871,,,,,OCT,2018,20,10,,,,,,,e10147,10.2196/10147,,,,,,,WOS:000448366700001,30368433,,,,
0,Mice,J,"Heffley, W; Song, EY; Xu, ZY; Taylor, BN; Hughes, MA; McKinney, A; Joshua, M; Hull, C",,,,"Heffley, William; Song, Eun Young; Xu, Ziye; Taylor, Benjamin N.; Hughes, Mary Anne; McKinney, Andrew; Joshua, Mati; Hull, Court",,,Coordinated cerebellar climbing fiber activity signals learned sensorimotor predictions,NATURE NEUROSCIENCE,,,,,,,,,,,,,,,,,"Hull, Court/0000-0002-0360-8367",,,,,,,,,,,,1097-6256,1546-1726,,,,OCT,2018,21,10,,,,,1431,+,,10.1038/s41593-018-0228-8,,,,,,,WOS:000445651600018,30224805,,,,
0,Nursing (off topic),J,"Donovan, LM; Argenbright, CA; Mullen, LK; Humbert, JL",,,,"Donovan, Laureen M.; Argenbright, Christine A.; Mullen, Lauren K.; Humbert, Janelle L.",,,Computer-based simulation: Effective tool or hindrance for undergraduate nursing students?,NURSE EDUCATION TODAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0260-6917,1532-2793,,,,OCT,2018,69,,,,,,122,127,,10.1016/j.nedt.2018.07.007,,,,,,,WOS:000442703900020,30048812,,,,
0,Not a reinforcement learning model - leaky model,J,"Rupprechter, S; Stankevicius, A; Huys, QJM; Steele, JD; Series, P",,,,"Rupprechter, Samuel; Stankevicius, Aistis; Huys, Quentin J. M.; Steele, J. Douglas; Series, Peggy",,,Major Depression Impairs the Use of Reward Values for Decision-Making,SCIENTIFIC REPORTS,,,,,,,,,,,,,,,,"Steele, Douglas/AAB-9889-2019","Steele, Douglas/0000-0002-9822-8753; Series, Peggy/0000-0002-8580-7975",,,,,,,,,,,,2045-2322,,,,,Sep-14,2018,8,,,,,,,,13798,10.1038/s41598-018-31730-w,,,,,,,WOS:000444571200006,30218084,,,,
0,Review paper,J,"Akaishi, T",,,,"Akaishi, Tetsuya",,,Unified neural structured model: A new diagnostic tool in primary care psychiatry,MEDICAL HYPOTHESES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0306-9877,1532-2777,,,,SEP,2018,118,,,,,,107,113,,10.1016/j.mehy.2018.06.030,,,,,,,WOS:000442189900022,30037595,,,,
0,"Youth, non-clinical",J,"Keren, H; Chen, G; Benson, B; Ernst, M; Leibenluft, E; Fox, NA; Pine, DS; Stringaris, A",,,,"Keren, Hanna; Chen, Gang; Benson, Brenda; Ernst, Monique; Leibenluft, Ellen; Fox, Nathan A.; Pine, Daniel S.; Stringaris, Argyris",,,Is the encoding of Reward Prediction Error reliable during development?,NEUROIMAGE,,,,,,,,,,,,,,,,"Pine, Daniel/Z-1601-2019",,,,,,,,,,,,,1053-8119,1095-9572,,,,SEP,2018,178,,,,,,266,276,,10.1016/j.neuroimage.2018.05.039,,,,,,,WOS:000438467800023,29777827,,,,
0,Non-clinical,J,"Wimmer, GE; Li, JMK; Gorgolewski, KJ; Poldrack, RA",,,,"Wimmer, G. Elliott; Li, Jamie K.; Gorgolewski, Krzysztof J.; Poldrack, Russell A.",,,Reward Learning over Weeks Versus Minutes Increases the Neural Representation of Value in the Human Brain,JOURNAL OF NEUROSCIENCE,,,,,,,,,,,,,,,,"Gorgolewski, Krzysztof Jacek/A-7883-2010","Gorgolewski, Krzysztof Jacek/0000-0003-3321-7583; Wimmer, G. Elliott/0000-0002-2227-119X; Li, Jamie/0000-0002-8551-8583; Poldrack, Russell/0000-0001-6755-0259",,,,,,,,,,,,0270-6474,,,,,Aug-29,2018,38,35,,,,,7649,7666,,10.1523/JNEUROSCI.0075-18.2018,,,,,,,WOS:000442995700009,30061189,,,,
0,Mapping of hippocampus,J,"Oprisan, SA; Buhusi, M; Buhusi, CV",,,,"Oprisan, Sorinel A.; Buhusi, Mona; Buhusi, Catalin, V",,,A Population-Based Model of the Temporal Memory in the Hippocampus,FRONTIERS IN NEUROSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662-453X,,,,,Aug-07,2018,12,,,,,,,,521,10.3389/fnins.2018.00521,,,,,,,WOS:000441069500001,30131668,,,,
0,Borderline personality disorder,J,"Dixon-Gordon, KL; Tull, MT; Hackel, LM; Gratz, KL",,,,"Dixon-Gordon, Katherine L.; Tull, Matthew T.; Hackel, Leor M.; Gratz, Kim L.",,,THE INFLUENCE OF EMOTIONAL STATE ON LEARNING FROM REWARD AND PUNISHMENT IN BORDERLINE PERSONALITY DISORDER,JOURNAL OF PERSONALITY DISORDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885-579X,1943-2763,,,,AUG,2018,32,4,,,,,433,446,,10.1521/pedi_2017_31_299,,,,,,,WOS:000441420900001,28594633,,,,
0,Mice,J,"Kukel'ova, D; Bergamini, G; Sigrist, H; Seifritz, E; Hengerer, B; Pryce, CR",,,,"Kukel'ova, Diana; Bergamini, Giorgio; Sigrist, Hannes; Seifritz, Erich; Hengerer, Bastian; Pryce, Christopher R.",,,Chronic Social Stress Leads to Reduced Gustatory Reward Salience and Effort Valuation in Mice,FRONTIERS IN BEHAVIORAL NEUROSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662-5153,,,,,Jul-10,2018,12,,,,,,,,134,10.3389/fnbeh.2018.00134,,,,,,,WOS:000438087500001,30057529,,,,
1,,J,"Kumar, P; Goer, F; Murray, L; Dillon, DG; Beltzer, ML; Cohen, AL; Brooks, NH; Pizzagalli, DA",,,,"Kumar, Poornima; Goer, Franziska; Murray, Laura; Dillon, Daniel G.; Beltzer, Miranda L.; Cohen, Andrew L.; Brooks, Nancy H.; Pizzagalli, Diego A.",,,Impaired reward prediction error encoding and striatal-midbrain connectivity in depression,NEUROPSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,"Pizzagalli, Diego A./Z-1595-2019","Kumar, Poornima/0000-0002-9548-3281",,,,,,,,,,,,0893-133X,1740-634X,,,,JUN,2018,43,7,,,,,1581,1588,,10.1038/s41386-018-0032-x,,,,,,,WOS:000432114600014,29540863,,,,
0,Non-clinical sample,J,"Allen, MT; Handy, JD; Blankenship, MR; Servatius, RJ",,,,"Allen, M. T.; Handy, J. D.; Blankenship, M. R.; Servatius, R. J.",,,"The distressed (Type D) personality factor of social inhibition, but not negative affectivity, enhances eyeblink conditioning",BEHAVIOURAL BRAIN RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0166-4328,1872-7549,,,,Jun-01,2018,345,,,,,,93,103,,10.1016/j.bbr.2018.02.035,,,,,,,WOS:000430774600012,29486267,,,,
0,"Not case-control (dimensional, symptom scores)",J,"Norbury, A; Robbins, TW; Seymour, B",,,,"Norbury, Agnes; Robbins, Trevor W.; Seymour, Ben",,,Value generalization in human avoidance learning,ELIFE,,,,,,,,,,,,,,,,,"Seymour, Ben/0000-0003-1724-5832; Norbury, Agnes/0000-0002-4377-3164; Robbins, Trevor/0000-0003-0642-5977",,,,,,,,,,,,2050-084X,,,,,May-08,2018,7,,,,,,,,e34779,10.7554/eLife.34779,,,,,,,WOS:000432360800001,29735014,,,,
0,Parkinson's,J,"Argyelan, M; Herzallah, M; Sako, W; DeLucia, I; Sarpal, D; Vo, A; Fitzpatrick, T; Moustafa, AA; Eidelberg, D; Gluck, M",,,,"Argyelan, Miklos; Herzallah, Mohammad; Sako, Wataru; DeLucia, Ivana; Sarpal, Deepak; An Vo; Fitzpatrick, Toni; Moustafa, Ahmed A.; Eidelberg, David; Gluck, Mark",,,Dopamine modulates striatal response to reward and punishment in patients with Parkinson's disease: a pharmacological challenge fMRI study,NEUROREPORT,,,,,,,,,,,,,,,,,"Moustafa, Ahmed/0000-0001-5971-273X",,,,,,,,,,,,0959-4965,1473-558X,,,,May-02,2018,29,7,,,,,532,540,,10.1097/WNR.0000000000000970,,,,,,,WOS:000430475400003,29432300,,,,
0,"Nocebo + pain, no modelling",J,"Colagiuri, B; Quinn, VF",,,,"Colagiuri, Ben; Quinn, Veronica F.",,,Autonomic Arousal as a Mechanism of the Persistence of Nocebo Hyperalgesia,JOURNAL OF PAIN,,,,,,,,,,,,,,,,,"Colagiuri, Ben/0000-0003-2157-2641",,,,,,,,,,,,1526-5900,,,,,MAY,2018,19,5,,,,,476,486,,10.1016/j.jpain.2017.12.006,,,,,,,WOS:000431608300002,29269281,,,,
0,Nicotine smoking,J,"Langdon, KJ; Bakhshaie, J; Lopez, A; Tavakoli, N; Garey, L; Raines, AM; Kauffman, BY; Schmidt, NB; Zvolensky, MJ",,,,"Langdon, Kirsten J.; Bakhshaie, Jafar; Lopez, Alicia; Tavakoli, Niloofar; Garey, Lorra; Raines, Amanda M.; Kauffman, Brooke Y.; Schmidt, Norman B.; Zvolensky, Michael J.",,,Anxiety Sensitivity Physical and Cognitive Concerns in Relation to Smoking-oriented Cognition: An Examination Among Treatment-seeking Adults Who Smoke,JOURNAL OF ADDICTION MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932-0620,1935-3227,,,,MAY-JUN,2018,12,3,,,,,212,219,,10.1097/ADM.0000000000000389,,,,,,,WOS:000441391100007,29438156,,,,
0,Conference abstract,J,"Bennett, D; Niv, Y",,,,"Bennett, Daniel; Niv, Yael",,,The Interaction Between Mood and Value,BIOLOGICAL PSYCHIATRY,,,,,73rd Annual Scientific Convention and Meeting of the Society-of-Biological-Psychiatry (SOBP),"MAY 10-12, 2018","New York, NY",Soc Biol Psychiat,,,,,,,,,,,,,,,,,,,,,0006-3223,1873-2402,,,,May-01,2018,83,9,,S,,45,S18,S19,,10.1016/j.biopsych.2018.02.062,,,,,,,WOS:000432466300046,,,,,
0,Conference abstract,J,"Norbury, A; Robbins, TW; Seymour, B",,,,"Norbury, Agnes; Robbins, Trevor W.; Seymour, Ben",,,Aversive Value Generalization During Human Avoidance Learning Predicts Anxiety,BIOLOGICAL PSYCHIATRY,,,,,73rd Annual Scientific Convention and Meeting of the Society-of-Biological-Psychiatry (SOBP),"MAY 10-12, 2017","New York, NY",Soc Biol Psychiat,,,,,,,,,,,,,,,,,,,,,0006-3223,1873-2402,,,,May-01,2018,83,9,,S,,F20,S244,S245,,10.1016/j.biopsych.2018.02.633,,,,,,,WOS:000433001900031,,,,,
0,No modelling,J,"Handy, JD; Avcu, P; Ko, N; Ortiz, A; Doria, MJ; Servatius, RJ",,,,"Handy, Justin D.; Avcu, Pelin; Ko, Nora; Ortiz, Alejandro; Doria, Michael J.; Servatius, Richard J.",,,Facilitated acquisition of the classically conditioned eyeblink response in active duty military expressing posttraumatic stress disorder symptoms,BEHAVIOURAL BRAIN RESEARCH,,,,,,,,,,,,,,,,,"Servatius, Richard/0000-0002-7023-4895",,,,,,,,,,,,0166-4328,1872-7549,,,,Feb-26,2018,339,,,,,,106,113,,10.1016/j.bbr.2017.11.014,,,,,,,WOS:000424173300012,29154809,,,,
0,Healthy sample only,J,"Lindstrom, B; Haaker, J; Olsson, A",,,,"Lindstrom, Bjorn; Haaker, Jan; Olsson, Andreas",,,A common neural network differentially mediates direct and social fear learning,NEUROIMAGE,,,,,,,,,,,,,,,,"Haaker, Jan/J-4670-2014","Haaker, Jan/0000-0001-8366-9559",,,,,,,,,,,,1053-8119,1095-9572,,,,Feb-15,2018,167,,,,,,121,129,,10.1016/j.neuroimage.2017.11.039,,,,,,,WOS:000427529200012,29170069,,,,
0,Marine robotics,B,"Gupta, A; Novitzky, M; Benjamin, M",,,IEEE,"Gupta, Arjun; Novitzky, Michael; Benjamin, Michael",,,Learning Autonomous Marine Behaviors in MOOS-IvP,OCEANS 2018 MTS/IEEE CHARLESTON,,,,,Conference on OCEANS MTS/IEEE Charleston,"OCT 22-25, 2018","Charleston, SC",IEEE Charleston,,,,,,,,,,,,,,,,,,,,,,,978-1-5386-4814-8,,,,2018,,,,,,,,,,,,,,,,,WOS:000461320201083,,,,,
0,Robot to support children,S,"Gamborino, E; Fu, LC",,,IEEE,"Gamborino, Edwinn; Fu, Li-Chen",,,Interactive Reinforcement Learning based Assistive Robot for the Emotional Support of Children,"2018 18TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS (ICCAS)",International Conference on Control Automation and Systems,,,,"18th International Conference on Control, Automation and Systems (ICCAS)","OCT 17-20, 2018",SOUTH KOREA,"SCIE, IEEE, CAC, ACA, ECTI Assoc, ISA, AAI",,,,,,,,,,,,,,,,,,,,,2093-7121,,978-89-93215-15-1,,,,2018,,,,,,,708,713,,,,,,,,,WOS:000457612300108,,,,,
0,Song embedding,B,"Dhahri, C; Matsumoto, K; Hoashi, K",,"Brandes, U; Reddy, C; Tagarelli, A",,"Dhahri, Chaima; Matsumoto, Kazunori; Hoashi, Keiichiro",,,Mood-Aware Music Recommendation via Adaptive Song Embedding,2018 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM),,,,,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM),"AUG 28-31, 2018","Barcelona, SPAIN","IEEE, Assoc Comp Machinery, IEEE Comp Soc, ACM SIGKDD, IEEE TCDE, Springer, Elsevier",,,,,,,,,,,,,,,,,,,,,,,978-1-5386-6051-5,,,,2018,,,,,,,135,138,,,,,,,,,WOS:000455640600022,,,,,
0,Review paper,S,"Bishop, SJ; Gagne, C",,"Roska, B; Zoghbi, HY",,"Bishop, Sonia J.; Gagne, Christopher",,,"Anxiety, Depression, and Decision Making: A Computational Perspective","ANNUAL REVIEW OF NEUROSCIENCE, VOL 41",Annual Review of Neuroscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,0147-006X,,978-0-8243-2441-4,,,,2018,41,,,,,,371,388,,10.1146/annurev-neuro-080317-062007,,,,,,,WOS:000440275500018,29709209,,,,
0,Non-clinical,J,"Schmid, PC; Hackel, LM; Jasperse, L; Amodio, DM",,,,"Schmid, Petra C.; Hackel, Leor M.; Jasperse, Lee; Amodio, David M.",,,Frontal cortical effects on feedback processing and reinforcement learning: Relation of EEG asymmetry with the feedback-related negativity and behavior,PSYCHOPHYSIOLOGY,,,,,,,,,,,,,,,,,"Schmid, Petra/0000-0002-9990-5445",,,,,,,,,,,,0048-5772,1469-8986,,,,JAN,2018,55,1,,,SI,,,,UNSP e12911,10.1111/psyp.12911,,,,,,,WOS:000425287500008,28675507,,,,
0,Sick role reinforcement,J,"Bilsky, SA; Feldner, MT; Bynion, TM; Rojas, SM; Leen-Feldner, EW",,,,"Bilsky, Sarah A.; Feldner, Matthew T.; Bynion, Teah-Marie; Rojas, Sasha M.; Leen-Feldner, Ellen W.",,,Child Anxiety and Parental Anxiety Sensitivity are Related to Parent Sick Role Reinforcement,PARENTING-SCIENCE AND PRACTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529-5192,1532-7922,,,,,2018,18,2,,,,,110,125,,10.1080/15295192.2018.1444132,,,,,,,WOS:000428866200003,,,,,
0,No RL,J,"Delgado, B; Aparisi, D; Garcia-Fernandez, JM; Torregrosa, MS; Estevez, E; Marzo, JC; Ingles, CJ",,,,"Delgado, Beatriz; Aparisi, David; Garcia-Fernandez, Jose M.; Torregrosa, Maria S.; Estevez, Estefania; Marzo, Juan-Carlos; Ingles, Candido J.",,,Academic goals and learning strategies in secondary education Spanish students with social anxiety,ESTUDIOS DE PSICOLOGIA,,,,,,,,,,,,,,,,"Marzo, Juan/L-7013-2014; Ingles, Candido J./C-5979-2011; Delgado, Beatriz/C-8172-2011; Torregrosa, Maria Soledad/P-1347-2016","Marzo, Juan/0000-0003-4284-6744; Delgado, Beatriz/0000-0003-1174-0314; Torregrosa, Maria Soledad/0000-0001-8280-6670",,,,,,,,,,,,0210-9395,1579-3699,,,,,2018,39,1,,,,,58,80,,10.1080/02109395.2017.1407901,,,,,,,WOS:000424782600003,,,,,
0,"Not a clinical group, a trauma group (though some did have psych diagnoses)",J,"Ousdal, OT; Huys, QJ; Milde, AM; Craven, AR; Ersland, L; Endestad, T; Melinder, A; Hugdahl, K; Dolan, RJ",,,,"Ousdal, O. T.; Huys, Q. J.; Milde, A. M.; Craven, A. R.; Ersland, L.; Endestad, T.; Melinder, A.; Hugdahl, K.; Dolan, R. J.",,,The impact of traumatic stress on Pavlovian biases,PSYCHOLOGICAL MEDICINE,,,,,,,,,,,,,,,,"Melinder, Annika/L-6782-2016","Melinder, Annika/0000-0001-7773-0579; Craven, Alexander R/0000-0003-2583-7571; Hugdahl, Kenneth/0000-0002-0008-4326",,,,,,,,,,,,0033-2917,1469-8978,,,,JAN,2018,48,2,,,,,327,336,,10.1017/S003329171700174X,,,,,,,WOS:000418740300014,28641601,,,,
0,In Drosophila,J,"Sitaraman, D; Kramer, EF; Kahsai, L; Ostrowski, D; Zars, T",,,,"Sitaraman, Divya; Kramer, Elizabeth F.; Kahsai, Lily; Ostrowski, Daniela; Zars, Troy",,,Discrete Serotonin Systems Mediate Memory Enhancement and Escape Latencies after Unpredicted Aversive Experience in Drosophila Place Memory,FRONTIERS IN SYSTEMS NEUROSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662-5137,,,,,Dec-11,2017,11,,,,,,,,92,10.3389/fnsys.2017.00092,,,,,,,WOS:000417584400001,29321732,,,,
0,Only HC + stress manipulation,J,"Raio, CM; Hartley, CA; Orederu, TA; Li, J; Phelps, EA",,,,"Raio, Candace M.; Hartley, Catherine A.; Orederu, Temidayo A.; Li, Jian; Phelps, Elizabeth A.",,,Stress attenuates the flexible updating of aversive value,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0027-8424,,,,,Oct-17,2017,114,42,,,,,11241,11246,,10.1073/pnas.1702565114,,,,,,,WOS:000413237900066,28973957,,,,
0,Conference proceedings,J,"Seymour, B; Norbury, A",,,,"Seymour, Ben; Norbury, Agnes",,,Reinforcement learning models of aversive learning and their translation to anxiety disorders,JOURNAL OF NEURAL TRANSMISSION,,,,,Conference of the World-Association-for-Stress-Related-and-Anxiety-Disorders (WASAD),"SEP 14-16, 2017","Wurzburg, GERMANY",World Assoc Stress Related & Anxiety Disorders,,,,,,,,,,,,,,,,,,,,,0300-9564,1435-1463,,,,OCT,2017,124,10,,,,60,1283,1284,,,,,,,,,WOS:000411938200035,,,,,
0,In fish,J,"Crane, AL; Ferrari, MCO",,,,"Crane, Adam L.; Ferrari, Maud C. O.",,,Learning of safety by a social fish: applications for studying post-traumatic stress in humans,ANIMAL BEHAVIOUR,,,,,,,,,,,,,,,,"Crane, Adam/Q-4937-2018","Crane, Adam/0000-0002-8645-8180",,,,,,,,,,,,0003-3472,1095-8282,,,,OCT,2017,132,,,,,,271,279,,10.1016/j.anbehav.2017.08.026,,,,,,,WOS:000412445700027,,,,,
1,,J,"Mkrtchian, A; Aylward, J; Dayan, P; Roiser, JP; Robinson, OJ",,,,"Mkrtchian, Anahit; Aylward, Jessica; Dayan, Peter; Roiser, Jonathan P.; Robinson, Oliver J.",,,Modeling Avoidance in Mood and Anxiety Disorders Using Reinforcement Learning,BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,,,,"Robinson, Oliver/B-3646-2011","Robinson, Oliver/0000-0002-3100-1132",,,,,,,,,,,,0006-3223,1873-2402,,,,Oct-01,2017,82,7,,,,,532,539,,10.1016/j.biopsych.2017.01.017,,,,,,,WOS:000408871400012,28343697,,,,
0,Used questionnaire scores not clinical diagnosis (used cut-off for groups),J,"Huang, H; Thompson, W; Paulus, MP",,,,"Huang, He; Thompson, Wesley; Paulus, Martin P.",,,Computational Dysfunctions in Anxiety: Failure to Differentiate Signal From Noise,BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0006-3223,1873-2402,,,,Sep-15,2017,82,6,,,SI,,440,446,,10.1016/j.biopsych.2017.07.007,,,,,,,WOS:000408154700010,28838468,,,,
1,,J,"Liu, WH; Valton, V; Wang, LZ; Zhu, YH; Roiser, JP",,,,"Liu, Wen-Hua; Valton, Vincent; Wang, Ling-Zhi; Zhu, Yu-Hua; Roiser, Jonathan P.",,,Association between habenula dysfunction and motivational symptoms in unmedicated major depressive disorder,SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749-5016,1749-5024,,,,SEP,2017,12,9,,,,,1520,1533,,10.1093/scan/nsx074,,,,,,,WOS:000412646400015,28575424,,,,
0,Not RL,J,"Stassart, C; Dardenne, B; Etienne, AM",,,,"Stassart, Celine; Dardenne, Benoit; Etienne, Anne-Marie",,,The role of parental anxiety sensitivity and learning experiences in children's anxiety sensitivity,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0261-510X,2044-835X,,,,SEP,2017,35,3,,,,,359,375,,10.1111/bjdp.12172,,,,,,,WOS:000407646100004,28120529,,,,
0,In rats,J,"Fisher, SD; Robertson, PB; Black, MJ; Redgrave, P; Sagar, MA; Abraham, WC; Reynolds, JNJ",,,,"Fisher, Simon D.; Robertson, Paul B.; Black, Melony J.; Redgrave, Peter; Sagar, Mark A.; Abraham, Wickliffe C.; Reynolds, John N. J.",,,Reinforcement determines the timing dependence of corticostriatal synaptic plasticity in vivo,NATURE COMMUNICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041-1723,,,,,Aug-24,2017,8,,,,,,,,334,10.1038/s41467-017-00394-x,,,,,,,WOS:000408375000002,28839128,,,,
0,"Not case-control (dimensional, symptom scores)",J,"Iijima, Y; Takano, K; Boddez, Y; Raes, F; Tanno, Y",,,,"Iijima, Yudai; Takano, Keisuke; Boddez, Yannick; Raes, Filip; Tanno, Yoshihiko",,,Stuttering Thoughts: Negative Self-Referent Thinking Is Less Sensitive to Aversive Outcomes in People with Higher Levels of Depressive Symptoms,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,,,,,,"Takano, Keisuke/0000-0003-0406-8654",,,,,,,,,,,,1664-1078,,,,,Aug-02,2017,8,,,,,,,,1333,10.3389/fpsyg.2017.01333,,,,,,,WOS:000407357900001,28824511,,,,
